 #  energy  real  imag
  0.0000000E+00   2.130994      0.0000000E+00
  6.6666666E-04   2.131303      0.0000000E+00
  1.3333333E-03   2.131613      0.0000000E+00
  2.0000001E-03   2.131922      0.0000000E+00
  2.6666666E-03   2.132233      0.0000000E+00
  3.3333334E-03   2.132543      0.0000000E+00
  4.0000002E-03   2.132854      0.0000000E+00
  4.6666665E-03   2.133164      0.0000000E+00
  5.3333333E-03   2.133474      0.0000000E+00
  6.0000001E-03   2.133786      0.0000000E+00
  6.6666668E-03   2.134097      0.0000000E+00
  7.3333331E-03   2.134408      0.0000000E+00
  8.0000004E-03   2.134719      0.0000000E+00
  8.6666662E-03   2.135031      0.0000000E+00
  9.3333330E-03   2.135343      0.0000000E+00
  9.9999998E-03   2.135654      0.0000000E+00
  1.0666667E-02   2.135966      0.0000000E+00
  1.1333333E-02   2.136279      0.0000000E+00
  1.2000000E-02   2.136592      0.0000000E+00
  1.2666667E-02   2.136905      0.0000000E+00
  1.3333334E-02   2.137218      0.0000000E+00
  1.4000000E-02   2.137530      0.0000000E+00
  1.4666666E-02   2.137844      0.0000000E+00
  1.5333333E-02   2.138158      0.0000000E+00
  1.6000001E-02   2.138471      0.0000000E+00
  1.6666668E-02   2.138784      0.0000000E+00
  1.7333332E-02   2.139099      0.0000000E+00
  1.7999999E-02   2.139413      0.0000000E+00
  1.8666666E-02   2.139728      0.0000000E+00
  1.9333333E-02   2.140042      0.0000000E+00
  2.0000000E-02   2.140356      0.0000000E+00
  2.0666666E-02   2.140672      0.0000000E+00
  2.1333333E-02   2.140987      0.0000000E+00
  2.2000000E-02   2.141303      0.0000000E+00
  2.2666667E-02   2.141618      0.0000000E+00
  2.3333333E-02   2.141934      0.0000000E+00
  2.4000000E-02   2.142250      0.0000000E+00
  2.4666667E-02   2.142566      0.0000000E+00
  2.5333334E-02   2.142882      0.0000000E+00
  2.6000001E-02   2.143198      0.0000000E+00
  2.6666667E-02   2.143514      0.0000000E+00
  2.7333334E-02   2.143831      0.0000000E+00
  2.8000001E-02   2.144148      0.0000000E+00
  2.8666666E-02   2.144465      0.0000000E+00
  2.9333333E-02   2.144783      0.0000000E+00
  2.9999999E-02   2.145101      0.0000000E+00
  3.0666666E-02   2.145418      0.0000000E+00
  3.1333335E-02   2.145736      0.0000000E+00
  3.2000002E-02   2.146054      0.0000000E+00
  3.2666668E-02   2.146374      0.0000000E+00
  3.3333335E-02   2.146692      0.0000000E+00
  3.4000002E-02   2.147011      0.0000000E+00
  3.4666665E-02   2.147330      0.0000000E+00
  3.5333332E-02   2.147649      0.0000000E+00
  3.5999998E-02   2.147969      0.0000000E+00
  3.6666665E-02   2.148288      0.0000000E+00
  3.7333332E-02   2.148608      0.0000000E+00
  3.7999999E-02   2.148928      0.0000000E+00
  3.8666666E-02   2.149247      0.0000000E+00
