 #  energy  real  imag
  0.0000000E+00   2.110898      0.0000000E+00
  6.6666666E-04   2.111186      0.0000000E+00
  1.3333333E-03   2.111477      0.0000000E+00
  2.0000001E-03   2.111767      0.0000000E+00
  2.6666666E-03   2.112058      0.0000000E+00
  3.3333334E-03   2.112348      0.0000000E+00
  4.0000002E-03   2.112639      0.0000000E+00
  4.6666665E-03   2.112930      0.0000000E+00
  5.3333333E-03   2.113221      0.0000000E+00
  6.0000001E-03   2.113512      0.0000000E+00
  6.6666668E-03   2.113804      0.0000000E+00
  7.3333331E-03   2.114094      0.0000000E+00
  8.0000004E-03   2.114387      0.0000000E+00
  8.6666662E-03   2.114678      0.0000000E+00
  9.3333330E-03   2.114971      0.0000000E+00
  9.9999998E-03   2.115263      0.0000000E+00
  1.0666667E-02   2.115555      0.0000000E+00
  1.1333333E-02   2.115847      0.0000000E+00
  1.2000000E-02   2.116140      0.0000000E+00
  1.2666667E-02   2.116433      0.0000000E+00
  1.3333334E-02   2.116725      0.0000000E+00
  1.4000000E-02   2.117019      0.0000000E+00
  1.4666666E-02   2.117312      0.0000000E+00
  1.5333333E-02   2.117605      0.0000000E+00
  1.6000001E-02   2.117900      0.0000000E+00
  1.6666668E-02   2.118193      0.0000000E+00
  1.7333332E-02   2.118487      0.0000000E+00
  1.7999999E-02   2.118781      0.0000000E+00
  1.8666666E-02   2.119075      0.0000000E+00
  1.9333333E-02   2.119370      0.0000000E+00
  2.0000000E-02   2.119665      0.0000000E+00
  2.0666666E-02   2.119959      0.0000000E+00
  2.1333333E-02   2.120255      0.0000000E+00
  2.2000000E-02   2.120550      0.0000000E+00
  2.2666667E-02   2.120846      0.0000000E+00
  2.3333333E-02   2.121140      0.0000000E+00
  2.4000000E-02   2.121436      0.0000000E+00
  2.4666667E-02   2.121732      0.0000000E+00
  2.5333334E-02   2.122028      0.0000000E+00
  2.6000001E-02   2.122324      0.0000000E+00
  2.6666667E-02   2.122620      0.0000000E+00
  2.7333334E-02   2.122917      0.0000000E+00
  2.8000001E-02   2.123213      0.0000000E+00
  2.8666666E-02   2.123509      0.0000000E+00
  2.9333333E-02   2.123806      0.0000000E+00
  2.9999999E-02   2.124103      0.0000000E+00
  3.0666666E-02   2.124399      0.0000000E+00
  3.1333335E-02   2.124698      0.0000000E+00
  3.2000002E-02   2.124995      0.0000000E+00
  3.2666668E-02   2.125294      0.0000000E+00
  3.3333335E-02   2.125591      0.0000000E+00
  3.4000002E-02   2.125889      0.0000000E+00
  3.4666665E-02   2.126188      0.0000000E+00
  3.5333332E-02   2.126486      0.0000000E+00
  3.5999998E-02   2.126784      0.0000000E+00
  3.6666665E-02   2.127083      0.0000000E+00
  3.7333332E-02   2.127382      0.0000000E+00
  3.7999999E-02   2.127680      0.0000000E+00
  3.8666666E-02   2.127980      0.0000000E+00
  3.9333332E-02   2.128279      0.0000000E+00
  3.9999999E-02   2.128578      0.0000000E+00
  4.0666666E-02   2.128878      0.0000000E+00
  4.1333333E-02   2.129178      0.0000000E+00
  4.1999999E-02   2.129478      0.0000000E+00
  4.2666666E-02   2.129777      0.0000000E+00
  4.3333333E-02   2.130078      0.0000000E+00
  4.4000000E-02   2.130378      0.0000000E+00
  4.4666667E-02   2.130680      0.0000000E+00
  4.5333333E-02   2.130980      0.0000000E+00
  4.6000000E-02   2.131281      0.0000000E+00
  4.6666667E-02   2.131582      0.0000000E+00
  4.7333334E-02   2.131884      0.0000000E+00
  4.8000000E-02   2.132187      0.0000000E+00
  4.8666667E-02   2.132487      0.0000000E+00
  4.9333334E-02   2.132789      0.0000000E+00
  5.0000001E-02   2.133090      0.0000000E+00
  5.0666668E-02   2.133393      0.0000000E+00
  5.1333334E-02   2.133695      0.0000000E+00
  5.2000001E-02   2.133997      0.0000000E+00
  5.2666668E-02   2.134301      0.0000000E+00
  5.3333335E-02   2.134604      0.0000000E+00
  5.4000001E-02   2.134906      0.0000000E+00
  5.4666668E-02   2.135209      0.0000000E+00
  5.5333335E-02   2.135513      0.0000000E+00
  5.6000002E-02   2.135817      0.0000000E+00
  5.6666669E-02   2.136120      0.0000000E+00
  5.7333332E-02   2.136424      0.0000000E+00
  5.7999998E-02   2.136729      0.0000000E+00
  5.8666665E-02   2.137033      0.0000000E+00
  5.9333332E-02   2.137337      0.0000000E+00
  5.9999999E-02   2.137641      0.0000000E+00
  6.0666665E-02   2.137946      0.0000000E+00
  6.1333332E-02   2.138251      0.0000000E+00
  6.1999999E-02   2.138556      0.0000000E+00
  6.2666669E-02   2.138861      0.0000000E+00
  6.3333333E-02   2.139167      0.0000000E+00
  6.4000003E-02   2.139472      0.0000000E+00
  6.4666666E-02   2.139778      0.0000000E+00
  6.5333337E-02   2.140084      0.0000000E+00
  6.6000000E-02   2.140390      0.0000000E+00
  6.6666670E-02   2.140697      0.0000000E+00
  6.7333333E-02   2.141002      0.0000000E+00
  6.8000004E-02   2.141310      0.0000000E+00
  6.8666667E-02   2.141616      0.0000000E+00
  6.9333330E-02   2.141923      0.0000000E+00
  7.0000000E-02   2.142231      0.0000000E+00
  7.0666663E-02   2.142538      0.0000000E+00
  7.1333334E-02   2.142845      0.0000000E+00
  7.1999997E-02   2.143153      0.0000000E+00
  7.2666667E-02   2.143460      0.0000000E+00
  7.3333330E-02   2.143768      0.0000000E+00
  7.4000001E-02   2.144076      0.0000000E+00
  7.4666664E-02   2.144385      0.0000000E+00
  7.5333335E-02   2.144693      0.0000000E+00
  7.5999998E-02   2.145003      0.0000000E+00
  7.6666668E-02   2.145311      0.0000000E+00
  7.7333331E-02   2.145620      0.0000000E+00
  7.8000002E-02   2.145930      0.0000000E+00
  7.8666665E-02   2.146239      0.0000000E+00
  7.9333335E-02   2.146548      0.0000000E+00
