 #  energy  real  imag
  0.0000000E+00   2.124948      0.0000000E+00
  6.6666666E-04   2.125248      0.0000000E+00
  1.3333333E-03   2.125548      0.0000000E+00
  2.0000001E-03   2.125848      0.0000000E+00
  2.6666666E-03   2.126148      0.0000000E+00
  3.3333334E-03   2.126449      0.0000000E+00
  4.0000002E-03   2.126749      0.0000000E+00
  4.6666665E-03   2.127049      0.0000000E+00
  5.3333333E-03   2.127351      0.0000000E+00
  6.0000001E-03   2.127652      0.0000000E+00
  6.6666668E-03   2.127953      0.0000000E+00
  7.3333331E-03   2.128255      0.0000000E+00
  8.0000004E-03   2.128557      0.0000000E+00
  8.6666662E-03   2.128858      0.0000000E+00
  9.3333330E-03   2.129159      0.0000000E+00
  9.9999998E-03   2.129462      0.0000000E+00
  1.0666667E-02   2.129764      0.0000000E+00
  1.1333333E-02   2.130066      0.0000000E+00
  1.2000000E-02   2.130369      0.0000000E+00
  1.2666667E-02   2.130671      0.0000000E+00
  1.3333334E-02   2.130975      0.0000000E+00
  1.4000000E-02   2.131278      0.0000000E+00
  1.4666666E-02   2.131580      0.0000000E+00
  1.5333333E-02   2.131884      0.0000000E+00
  1.6000001E-02   2.132187      0.0000000E+00
  1.6666668E-02   2.132491      0.0000000E+00
  1.7333332E-02   2.132795      0.0000000E+00
  1.7999999E-02   2.133099      0.0000000E+00
  1.8666666E-02   2.133404      0.0000000E+00
  1.9333333E-02   2.133708      0.0000000E+00
  2.0000000E-02   2.134013      0.0000000E+00
  2.0666666E-02   2.134317      0.0000000E+00
  2.1333333E-02   2.134622      0.0000000E+00
  2.2000000E-02   2.134927      0.0000000E+00
  2.2666667E-02   2.135232      0.0000000E+00
  2.3333333E-02   2.135538      0.0000000E+00
  2.4000000E-02   2.135844      0.0000000E+00
  2.4666667E-02   2.136149      0.0000000E+00
  2.5333334E-02   2.136456      0.0000000E+00
  2.6000001E-02   2.136762      0.0000000E+00
  2.6666667E-02   2.137068      0.0000000E+00
  2.7333334E-02   2.137374      0.0000000E+00
  2.8000001E-02   2.137681      0.0000000E+00
  2.8666666E-02   2.137988      0.0000000E+00
  2.9333333E-02   2.138294      0.0000000E+00
  2.9999999E-02   2.138602      0.0000000E+00
  3.0666666E-02   2.138910      0.0000000E+00
  3.1333335E-02   2.139218      0.0000000E+00
  3.2000002E-02   2.139525      0.0000000E+00
  3.2666668E-02   2.139834      0.0000000E+00
  3.3333335E-02   2.140141      0.0000000E+00
  3.4000002E-02   2.140450      0.0000000E+00
  3.4666665E-02   2.140759      0.0000000E+00
  3.5333332E-02   2.141067      0.0000000E+00
  3.5999998E-02   2.141376      0.0000000E+00
  3.6666665E-02   2.141685      0.0000000E+00
  3.7333332E-02   2.141994      0.0000000E+00
  3.7999999E-02   2.142304      0.0000000E+00
  3.8666666E-02   2.142613      0.0000000E+00
  3.9333332E-02   2.142923      0.0000000E+00
  3.9999999E-02   2.143233      0.0000000E+00
  4.0666666E-02   2.143544      0.0000000E+00
  4.1333333E-02   2.143854      0.0000000E+00
  4.1999999E-02   2.144164      0.0000000E+00
  4.2666666E-02   2.144475      0.0000000E+00
  4.3333333E-02   2.144786      0.0000000E+00
  4.4000000E-02   2.145096      0.0000000E+00
  4.4666667E-02   2.145408      0.0000000E+00
  4.5333333E-02   2.145719      0.0000000E+00
  4.6000000E-02   2.146030      0.0000000E+00
  4.6666667E-02   2.146342      0.0000000E+00
  4.7333334E-02   2.146654      0.0000000E+00
  4.8000000E-02   2.146966      0.0000000E+00
  4.8666667E-02   2.147278      0.0000000E+00
  4.9333334E-02   2.147591      0.0000000E+00
  5.0000001E-02   2.147903      0.0000000E+00
  5.0666668E-02   2.148216      0.0000000E+00
  5.1333334E-02   2.148529      0.0000000E+00
  5.2000001E-02   2.148842      0.0000000E+00
  5.2666668E-02   2.149155      0.0000000E+00
  5.3333335E-02   2.149468      0.0000000E+00
  5.4000001E-02   2.149782      0.0000000E+00
  5.4666668E-02   2.150096      0.0000000E+00
  5.5333335E-02   2.150410      0.0000000E+00
  5.6000002E-02   2.150724      0.0000000E+00
  5.6666669E-02   2.151039      0.0000000E+00
  5.7333332E-02   2.151353      0.0000000E+00
  5.7999998E-02   2.151668      0.0000000E+00
  5.8666665E-02   2.151983      0.0000000E+00
  5.9333332E-02   2.152298      0.0000000E+00
  5.9999999E-02   2.152613      0.0000000E+00
  6.0666665E-02   2.152928      0.0000000E+00
  6.1333332E-02   2.153245      0.0000000E+00
  6.1999999E-02   2.153561      0.0000000E+00
  6.2666669E-02   2.153876      0.0000000E+00
  6.3333333E-02   2.154193      0.0000000E+00
  6.4000003E-02   2.154510      0.0000000E+00
  6.4666666E-02   2.154826      0.0000000E+00
  6.5333337E-02   2.155143      0.0000000E+00
  6.6000000E-02   2.155459      0.0000000E+00
  6.6666670E-02   2.155777      0.0000000E+00
  6.7333333E-02   2.156096      0.0000000E+00
  6.8000004E-02   2.156413      0.0000000E+00
  6.8666667E-02   2.156729      0.0000000E+00
  6.9333330E-02   2.157048      0.0000000E+00
  7.0000000E-02   2.157366      0.0000000E+00
  7.0666663E-02   2.157684      0.0000000E+00
  7.1333334E-02   2.158002      0.0000000E+00
  7.1999997E-02   2.158321      0.0000000E+00
  7.2666667E-02   2.158640      0.0000000E+00
  7.3333330E-02   2.158959      0.0000000E+00
  7.4000001E-02   2.159278      0.0000000E+00
  7.4666664E-02   2.159598      0.0000000E+00
  7.5333335E-02   2.159918      0.0000000E+00
  7.5999998E-02   2.160237      0.0000000E+00
  7.6666668E-02   2.160557      0.0000000E+00
  7.7333331E-02   2.160877      0.0000000E+00
  7.8000002E-02   2.161197      0.0000000E+00
  7.8666665E-02   2.161518      0.0000000E+00
  7.9333335E-02   2.161839      0.0000000E+00
  7.9999998E-02   2.162160      0.0000000E+00
  8.0666669E-02   2.162481      0.0000000E+00
  8.1333332E-02   2.162802      0.0000000E+00
  8.2000002E-02   2.163124      0.0000000E+00
  8.2666665E-02   2.163446      0.0000000E+00
  8.3333336E-02   2.163768      0.0000000E+00
  8.3999999E-02   2.164090      0.0000000E+00
  8.4666669E-02   2.164412      0.0000000E+00
  8.5333332E-02   2.164735      0.0000000E+00
  8.6000003E-02   2.165057      0.0000000E+00
  8.6666666E-02   2.165380      0.0000000E+00
  8.7333336E-02   2.165703      0.0000000E+00
  8.8000000E-02   2.166027      0.0000000E+00
  8.8666670E-02   2.166350      0.0000000E+00
  8.9333333E-02   2.166673      0.0000000E+00
  9.0000004E-02   2.166997      0.0000000E+00
