 #  energy  real  imag
  0.0000000E+00   2.116943      0.0000000E+00
  6.6666666E-04   2.117243      0.0000000E+00
  1.3333333E-03   2.117543      0.0000000E+00
  2.0000001E-03   2.117843      0.0000000E+00
  2.6666666E-03   2.118143      0.0000000E+00
  3.3333334E-03   2.118444      0.0000000E+00
  4.0000002E-03   2.118743      0.0000000E+00
  4.6666665E-03   2.119045      0.0000000E+00
  5.3333333E-03   2.119345      0.0000000E+00
  6.0000001E-03   2.119647      0.0000000E+00
  6.6666668E-03   2.119948      0.0000000E+00
  7.3333331E-03   2.120250      0.0000000E+00
  8.0000004E-03   2.120551      0.0000000E+00
  8.6666662E-03   2.120852      0.0000000E+00
  9.3333330E-03   2.121154      0.0000000E+00
  9.9999998E-03   2.121456      0.0000000E+00
  1.0666667E-02   2.121759      0.0000000E+00
  1.1333333E-02   2.122061      0.0000000E+00
  1.2000000E-02   2.122364      0.0000000E+00
  1.2666667E-02   2.122666      0.0000000E+00
  1.3333334E-02   2.122970      0.0000000E+00
  1.4000000E-02   2.123273      0.0000000E+00
  1.4666666E-02   2.123576      0.0000000E+00
  1.5333333E-02   2.123879      0.0000000E+00
  1.6000001E-02   2.124183      0.0000000E+00
  1.6666668E-02   2.124487      0.0000000E+00
  1.7333332E-02   2.124791      0.0000000E+00
  1.7999999E-02   2.125096      0.0000000E+00
  1.8666666E-02   2.125400      0.0000000E+00
  1.9333333E-02   2.125704      0.0000000E+00
  2.0000000E-02   2.126009      0.0000000E+00
  2.0666666E-02   2.126314      0.0000000E+00
  2.1333333E-02   2.126619      0.0000000E+00
  2.2000000E-02   2.126924      0.0000000E+00
  2.2666667E-02   2.127230      0.0000000E+00
  2.3333333E-02   2.127536      0.0000000E+00
  2.4000000E-02   2.127841      0.0000000E+00
  2.4666667E-02   2.128147      0.0000000E+00
  2.5333334E-02   2.128453      0.0000000E+00
  2.6000001E-02   2.128759      0.0000000E+00
  2.6666667E-02   2.129066      0.0000000E+00
  2.7333334E-02   2.129373      0.0000000E+00
  2.8000001E-02   2.129679      0.0000000E+00
  2.8666666E-02   2.129987      0.0000000E+00
  2.9333333E-02   2.130293      0.0000000E+00
  2.9999999E-02   2.130600      0.0000000E+00
  3.0666666E-02   2.130909      0.0000000E+00
  3.1333335E-02   2.131216      0.0000000E+00
  3.2000002E-02   2.131524      0.0000000E+00
  3.2666668E-02   2.131833      0.0000000E+00
  3.3333335E-02   2.132140      0.0000000E+00
  3.4000002E-02   2.132450      0.0000000E+00
  3.4666665E-02   2.132758      0.0000000E+00
  3.5333332E-02   2.133067      0.0000000E+00
  3.5999998E-02   2.133376      0.0000000E+00
  3.6666665E-02   2.133685      0.0000000E+00
  3.7333332E-02   2.133994      0.0000000E+00
  3.7999999E-02   2.134304      0.0000000E+00
  3.8666666E-02   2.134613      0.0000000E+00
  3.9333332E-02   2.134923      0.0000000E+00
  3.9999999E-02   2.135233      0.0000000E+00
  4.0666666E-02   2.135542      0.0000000E+00
  4.1333333E-02   2.135854      0.0000000E+00
  4.1999999E-02   2.136165      0.0000000E+00
  4.2666666E-02   2.136474      0.0000000E+00
  4.3333333E-02   2.136786      0.0000000E+00
  4.4000000E-02   2.137096      0.0000000E+00
  4.4666667E-02   2.137408      0.0000000E+00
  4.5333333E-02   2.137720      0.0000000E+00
  4.6000000E-02   2.138031      0.0000000E+00
  4.6666667E-02   2.138344      0.0000000E+00
  4.7333334E-02   2.138655      0.0000000E+00
  4.8000000E-02   2.138967      0.0000000E+00
  4.8666667E-02   2.139280      0.0000000E+00
  4.9333334E-02   2.139593      0.0000000E+00
  5.0000001E-02   2.139905      0.0000000E+00
  5.0666668E-02   2.140218      0.0000000E+00
  5.1333334E-02   2.140532      0.0000000E+00
  5.2000001E-02   2.140844      0.0000000E+00
  5.2666668E-02   2.141158      0.0000000E+00
  5.3333335E-02   2.141472      0.0000000E+00
  5.4000001E-02   2.141787      0.0000000E+00
  5.4666668E-02   2.142100      0.0000000E+00
  5.5333335E-02   2.142414      0.0000000E+00
  5.6000002E-02   2.142728      0.0000000E+00
  5.6666669E-02   2.143043      0.0000000E+00
  5.7333332E-02   2.143357      0.0000000E+00
  5.7999998E-02   2.143673      0.0000000E+00
  5.8666665E-02   2.143988      0.0000000E+00
  5.9333332E-02   2.144303      0.0000000E+00
  5.9999999E-02   2.144619      0.0000000E+00
  6.0666665E-02   2.144935      0.0000000E+00
  6.1333332E-02   2.145250      0.0000000E+00
  6.1999999E-02   2.145566      0.0000000E+00
  6.2666669E-02   2.145883      0.0000000E+00
  6.3333333E-02   2.146199      0.0000000E+00
  6.4000003E-02   2.146516      0.0000000E+00
  6.4666666E-02   2.146832      0.0000000E+00
  6.5333337E-02   2.147149      0.0000000E+00
  6.6000000E-02   2.147467      0.0000000E+00
  6.6666670E-02   2.147784      0.0000000E+00
  6.7333333E-02   2.148101      0.0000000E+00
  6.8000004E-02   2.148420      0.0000000E+00
  6.8666667E-02   2.148737      0.0000000E+00
  6.9333330E-02   2.149055      0.0000000E+00
  7.0000000E-02   2.149374      0.0000000E+00
  7.0666663E-02   2.149692      0.0000000E+00
  7.1333334E-02   2.150010      0.0000000E+00
  7.1999997E-02   2.150330      0.0000000E+00
  7.2666667E-02   2.150649      0.0000000E+00
  7.3333330E-02   2.150968      0.0000000E+00
  7.4000001E-02   2.151287      0.0000000E+00
  7.4666664E-02   2.151608      0.0000000E+00
  7.5333335E-02   2.151927      0.0000000E+00
  7.5999998E-02   2.152247      0.0000000E+00
  7.6666668E-02   2.152568      0.0000000E+00
  7.7333331E-02   2.152888      0.0000000E+00
  7.8000002E-02   2.153208      0.0000000E+00
  7.8666665E-02   2.153528      0.0000000E+00
  7.9333335E-02   2.153850      0.0000000E+00
  7.9999998E-02   2.154170      0.0000000E+00
  8.0666669E-02   2.154492      0.0000000E+00
  8.1333332E-02   2.154814      0.0000000E+00
