 #  energy  xx  yy  zz  xy  xz  yz
       0.000000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.000667       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.001333       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.002000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.002667       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.003333       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.004000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.004667       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.005333       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.006000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.006667       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.007333       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.008000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.008667       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.009333       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.010000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.010667       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.011333       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.012000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.012667       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.013333       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.014000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.014667       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.015333       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.016000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.016667       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.017333       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.018000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.018667       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.019333       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.020000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.020667       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.021333       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.022000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.022667       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.023333       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.024000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.024667       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.025333       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.026000       0.000000       0.000000       0.000000            NaN            NaN            NaN
       0.026667       0.000000       0.000000       0.000000            NaN            NaN            NaN
