 #  energy  x  y  z  sp  sm
       0.000000       0.034684       0.034346       0.000000       0.034091       0.034940
       0.000667       0.034697       0.034359       0.000000       0.034103       0.034953
       0.001333       0.034710       0.034371       0.000000       0.034115       0.034967
       0.002000       0.034723       0.034384       0.000000       0.034127       0.034980
       0.002667       0.034735       0.034397       0.000000       0.034140       0.034993
       0.003333       0.034748       0.034409       0.000000       0.034152       0.035006
       0.004000       0.034761       0.034422       0.000000       0.034164       0.035019
       0.004667       0.034773       0.034435       0.000000       0.034176       0.035032
       0.005333       0.034786       0.034448       0.000000       0.034189       0.035045
       0.006000       0.034799       0.034460       0.000000       0.034201       0.035058
       0.006667       0.034812       0.034473       0.000000       0.034213       0.035072
       0.007333       0.034824       0.034486       0.000000       0.034226       0.035085
       0.008000       0.034837       0.034499       0.000000       0.034238       0.035098
       0.008667       0.034850       0.034511       0.000000       0.034250       0.035111
       0.009333       0.034863       0.034524       0.000000       0.034263       0.035124
       0.010000       0.034875       0.034537       0.000000       0.034275       0.035138
       0.010667       0.034888       0.034550       0.000000       0.034287       0.035151
       0.011333       0.034901       0.034562       0.000000       0.034300       0.035164
       0.012000       0.034914       0.034575       0.000000       0.034312       0.035177
       0.012667       0.034927       0.034588       0.000000       0.034324       0.035191
       0.013333       0.034940       0.034601       0.000000       0.034337       0.035204
       0.014000       0.034952       0.034614       0.000000       0.034349       0.035217
       0.014667       0.034965       0.034626       0.000000       0.034362       0.035230
       0.015333       0.034978       0.034639       0.000000       0.034374       0.035244
       0.016000       0.034991       0.034652       0.000000       0.034386       0.035257
       0.016667       0.035004       0.034665       0.000000       0.034399       0.035270
       0.017333       0.035017       0.034678       0.000000       0.034411       0.035283
       0.018000       0.035029       0.034691       0.000000       0.034424       0.035297
       0.018667       0.035042       0.034704       0.000000       0.034436       0.035310
       0.019333       0.035055       0.034716       0.000000       0.034449       0.035323
       0.020000       0.035068       0.034729       0.000000       0.034461       0.035337
       0.020667       0.035081       0.034742       0.000000       0.034473       0.035350
       0.021333       0.035094       0.034755       0.000000       0.034486       0.035363
       0.022000       0.035107       0.034768       0.000000       0.034498       0.035377
       0.022667       0.035120       0.034781       0.000000       0.034511       0.035390
       0.023333       0.035133       0.034794       0.000000       0.034523       0.035404
       0.024000       0.035146       0.034807       0.000000       0.034536       0.035417
       0.024667       0.035159       0.034820       0.000000       0.034548       0.035430
       0.025333       0.035172       0.034833       0.000000       0.034561       0.035444
       0.026000       0.035185       0.034846       0.000000       0.034573       0.035457
       0.026667       0.035197       0.034859       0.000000       0.034586       0.035471
       0.027333       0.035210       0.034872       0.000000       0.034599       0.035484
       0.028000       0.035223       0.034885       0.000000       0.034611       0.035497
       0.028667       0.035236       0.034898       0.000000       0.034624       0.035511
       0.029333       0.035249       0.034911       0.000000       0.034636       0.035524
       0.030000       0.035262       0.034924       0.000000       0.034649       0.035538
       0.030667       0.035275       0.034937       0.000000       0.034661       0.035551
       0.031333       0.035289       0.034950       0.000000       0.034674       0.035565
       0.032000       0.035302       0.034963       0.000000       0.034686       0.035578
       0.032667       0.035315       0.034976       0.000000       0.034699       0.035592
       0.033333       0.035328       0.034989       0.000000       0.034712       0.035605
       0.034000       0.035341       0.035002       0.000000       0.034724       0.035619
       0.034667       0.035354       0.035015       0.000000       0.034737       0.035632
       0.035333       0.035367       0.035028       0.000000       0.034750       0.035646
       0.036000       0.035380       0.035041       0.000000       0.034762       0.035659
       0.036667       0.035393       0.035054       0.000000       0.034775       0.035673
       0.037333       0.035406       0.035067       0.000000       0.034787       0.035686
       0.038000       0.035419       0.035080       0.000000       0.034800       0.035700
       0.038667       0.035432       0.035094       0.000000       0.034813       0.035714
       0.039333       0.035445       0.035107       0.000000       0.034825       0.035727
       0.040000       0.035459       0.035120       0.000000       0.034838       0.035741
       0.040667       0.035472       0.035133       0.000000       0.034851       0.035754
       0.041333       0.035485       0.035146       0.000000       0.034863       0.035768
       0.042000       0.035498       0.035159       0.000000       0.034876       0.035781
       0.042667       0.035511       0.035172       0.000000       0.034889       0.035795
       0.043333       0.035524       0.035186       0.000000       0.034902       0.035809
       0.044000       0.035538       0.035199       0.000000       0.034914       0.035822
       0.044667       0.035551       0.035212       0.000000       0.034927       0.035836
       0.045333       0.035564       0.035225       0.000000       0.034940       0.035850
       0.046000       0.035577       0.035238       0.000000       0.034952       0.035863
       0.046667       0.035590       0.035252       0.000000       0.034965       0.035877
       0.047333       0.035604       0.035265       0.000000       0.034978       0.035891
       0.048000       0.035617       0.035278       0.000000       0.034991       0.035904
       0.048667       0.035630       0.035291       0.000000       0.035004       0.035918
       0.049333       0.035643       0.035304       0.000000       0.035016       0.035932
       0.050000       0.035657       0.035318       0.000000       0.035029       0.035946
       0.050667       0.035670       0.035331       0.000000       0.035042       0.035959
       0.051333       0.035683       0.035344       0.000000       0.035055       0.035973
       0.052000       0.035696       0.035357       0.000000       0.035067       0.035987
