 #  energy  xx  yy  zz  xy  xz  yz
       0.000000       0.034684       0.034346       0.000000       1.000000       1.000000       1.000000
       0.000667       0.034697       0.034359       0.000000       1.000000       1.000000       1.000000
       0.001333       0.034710       0.034371       0.000000       1.000000       1.000000       1.000000
       0.002000       0.034723       0.034384       0.000000       1.000000       1.000000       1.000000
       0.002667       0.034735       0.034397       0.000000       1.000000       1.000000       1.000000
       0.003333       0.034748       0.034409       0.000000       1.000000       1.000000       1.000000
       0.004000       0.034761       0.034422       0.000000       1.000000       1.000000       1.000000
       0.004667       0.034773       0.034435       0.000000       1.000000       1.000000       1.000000
       0.005333       0.034786       0.034448       0.000000       1.000000       1.000000       1.000000
       0.006000       0.034799       0.034460       0.000000       1.000000       1.000000       1.000000
       0.006667       0.034812       0.034473       0.000000       1.000000       1.000000       1.000000
       0.007333       0.034824       0.034486       0.000000       1.000000       1.000000       1.000000
       0.008000       0.034837       0.034499       0.000000       1.000000       1.000000       1.000000
       0.008667       0.034850       0.034511       0.000000       1.000000       1.000000       1.000000
       0.009333       0.034863       0.034524       0.000000       1.000000       1.000000       1.000000
       0.010000       0.034875       0.034537       0.000000       1.000000       1.000000       1.000000
       0.010667       0.034888       0.034550       0.000000       1.000000       1.000000       1.000000
       0.011333       0.034901       0.034562       0.000000       1.000000       1.000000       1.000000
       0.012000       0.034914       0.034575       0.000000       1.000000       1.000000       1.000000
       0.012667       0.034927       0.034588       0.000000       1.000000       1.000000       1.000000
       0.013333       0.034940       0.034601       0.000000       1.000000       1.000000       1.000000
       0.014000       0.034952       0.034614       0.000000       1.000000       1.000000       1.000000
       0.014667       0.034965       0.034626       0.000000       1.000000       1.000000       1.000000
       0.015333       0.034978       0.034639       0.000000       1.000000       1.000000       1.000000
       0.016000       0.034991       0.034652       0.000000       1.000000       1.000000       1.000000
       0.016667       0.035004       0.034665       0.000000       1.000000       1.000000       1.000000
       0.017333       0.035017       0.034678       0.000000       1.000000       1.000000       1.000000
       0.018000       0.035029       0.034691       0.000000       1.000000       1.000000       1.000000
       0.018667       0.035042       0.034704       0.000000       1.000000       1.000000       1.000000
       0.019333       0.035055       0.034716       0.000000       1.000000       1.000000       1.000000
       0.020000       0.035068       0.034729       0.000000       1.000000       1.000000       1.000000
       0.020667       0.035081       0.034742       0.000000       1.000000       1.000000       1.000000
       0.021333       0.035094       0.034755       0.000000       1.000000       1.000000       1.000000
       0.022000       0.035107       0.034768       0.000000       1.000000       1.000000       1.000000
       0.022667       0.035120       0.034781       0.000000       1.000000       1.000000       1.000000
       0.023333       0.035133       0.034794       0.000000       1.000000       1.000000       1.000000
       0.024000       0.035146       0.034807       0.000000       1.000000       1.000000       1.000000
       0.024667       0.035159       0.034820       0.000000       1.000000       1.000000       1.000000
       0.025333       0.035172       0.034833       0.000000       1.000000       1.000000       1.000000
       0.026000       0.035185       0.034846       0.000000       1.000000       1.000000       1.000000
       0.026667       0.035197       0.034859       0.000000       1.000000       1.000000       1.000000
       0.027333       0.035210       0.034872       0.000000       1.000000       1.000000       1.000000
       0.028000       0.035223       0.034885       0.000000       1.000000       1.000000       1.000000
       0.028667       0.035236       0.034898       0.000000       1.000000       1.000000       1.000000
       0.029333       0.035249       0.034911       0.000000       1.000000       1.000000       1.000000
       0.030000       0.035262       0.034924       0.000000       1.000000       1.000000       1.000000
       0.030667       0.035275       0.034937       0.000000       1.000000       1.000000       1.000000
       0.031333       0.035289       0.034950       0.000000       1.000000       1.000000       1.000000
       0.032000       0.035302       0.034963       0.000000       1.000000       1.000000       1.000000
       0.032667       0.035315       0.034976       0.000000       1.000000       1.000000       1.000000
       0.033333       0.035328       0.034989       0.000000       1.000000       1.000000       1.000000
       0.034000       0.035341       0.035002       0.000000       1.000000       1.000000       1.000000
       0.034667       0.035354       0.035015       0.000000       1.000000       1.000000       1.000000
       0.035333       0.035367       0.035028       0.000000       1.000000       1.000000       1.000000
       0.036000       0.035380       0.035041       0.000000       1.000000       1.000000       1.000000
       0.036667       0.035393       0.035054       0.000000       1.000000       1.000000       1.000000
       0.037333       0.035406       0.035067       0.000000       1.000000       1.000000       1.000000
       0.038000       0.035419       0.035080       0.000000       1.000000       1.000000       1.000000
       0.038667       0.035432       0.035094       0.000000       1.000000       1.000000       1.000000
       0.039333       0.035445       0.035107       0.000000       1.000000       1.000000       1.000000
       0.040000       0.035459       0.035120       0.000000       1.000000       1.000000       1.000000
       0.040667       0.035472       0.035133       0.000000       1.000000       1.000000       1.000000
       0.041333       0.035485       0.035146       0.000000       1.000000       1.000000       1.000000
       0.042000       0.035498       0.035159       0.000000       1.000000       1.000000       1.000000
       0.042667       0.035511       0.035172       0.000000       1.000000       1.000000       1.000000
       0.043333       0.035524       0.035186       0.000000       1.000000       1.000000       1.000000
       0.044000       0.035538       0.035199       0.000000       1.000000       1.000000       1.000000
