 #  energy  x  y  z  sp  sm
       0.000000       1.457720       1.454972       1.000000       1.452893       1.459792
       0.000667       1.457823       1.455075       1.000000       1.452992       1.459898
       0.001333       1.457926       1.455178       1.000000       1.453092       1.460004
       0.002000       1.458029       1.455281       1.000000       1.453192       1.460110
       0.002667       1.458132       1.455384       1.000000       1.453292       1.460217
       0.003333       1.458235       1.455487       1.000000       1.453392       1.460323
       0.004000       1.458338       1.455590       1.000000       1.453492       1.460429
       0.004667       1.458441       1.455694       1.000000       1.453592       1.460536
       0.005333       1.458544       1.455797       1.000000       1.453692       1.460642
       0.006000       1.458647       1.455901       1.000000       1.453792       1.460748
       0.006667       1.458750       1.456004       1.000000       1.453893       1.460855
       0.007333       1.458854       1.456108       1.000000       1.453992       1.460961
       0.008000       1.458957       1.456211       1.000000       1.454093       1.461068
       0.008667       1.459061       1.456315       1.000000       1.454193       1.461174
       0.009333       1.459164       1.456418       1.000000       1.454294       1.461281
       0.010000       1.459268       1.456522       1.000000       1.454394       1.461388
       0.010667       1.459371       1.456626       1.000000       1.454495       1.461494
       0.011333       1.459475       1.456730       1.000000       1.454595       1.461601
       0.012000       1.459578       1.456834       1.000000       1.454696       1.461709
       0.012667       1.459682       1.456937       1.000000       1.454797       1.461816
       0.013333       1.459786       1.457042       1.000000       1.454897       1.461923
       0.014000       1.459890       1.457145       1.000000       1.454998       1.462029
       0.014667       1.459993       1.457249       1.000000       1.455099       1.462137
       0.015333       1.460097       1.457353       1.000000       1.455199       1.462244
       0.016000       1.460201       1.457458       1.000000       1.455301       1.462351
       0.016667       1.460305       1.457562       1.000000       1.455401       1.462458
       0.017333       1.460409       1.457666       1.000000       1.455502       1.462566
       0.018000       1.460513       1.457771       1.000000       1.455603       1.462673
       0.018667       1.460618       1.457875       1.000000       1.455704       1.462781
       0.019333       1.460722       1.457979       1.000000       1.455806       1.462888
       0.020000       1.460826       1.458084       1.000000       1.455907       1.462996
       0.020667       1.460930       1.458189       1.000000       1.456008       1.463104
       0.021333       1.461035       1.458293       1.000000       1.456110       1.463211
       0.022000       1.461139       1.458398       1.000000       1.456211       1.463319
       0.022667       1.461243       1.458503       1.000000       1.456313       1.463427
       0.023333       1.461348       1.458608       1.000000       1.456413       1.463535
       0.024000       1.461453       1.458712       1.000000       1.456515       1.463643
       0.024667       1.461557       1.458817       1.000000       1.456617       1.463751
       0.025333       1.461662       1.458922       1.000000       1.456718       1.463859
       0.026000       1.461767       1.459027       1.000000       1.456820       1.463966
       0.026667       1.461871       1.459132       1.000000       1.456921       1.464074
       0.027333       1.461976       1.459237       1.000000       1.457023       1.464183
       0.028000       1.462081       1.459342       1.000000       1.457125       1.464291
       0.028667       1.462186       1.459448       1.000000       1.457226       1.464399
       0.029333       1.462291       1.459552       1.000000       1.457328       1.464508
       0.030000       1.462396       1.459657       1.000000       1.457430       1.464616
       0.030667       1.462501       1.459763       1.000000       1.457532       1.464725
       0.031333       1.462607       1.459869       1.000000       1.457634       1.464833
       0.032000       1.462711       1.459974       1.000000       1.457736       1.464942
       0.032667       1.462817       1.460080       1.000000       1.457839       1.465051
       0.033333       1.462922       1.460185       1.000000       1.457941       1.465159
       0.034000       1.463028       1.460291       1.000000       1.458043       1.465268
       0.034667       1.463133       1.460397       1.000000       1.458145       1.465377
       0.035333       1.463239       1.460502       1.000000       1.458248       1.465486
       0.036000       1.463344       1.460608       1.000000       1.458350       1.465595
       0.036667       1.463450       1.460714       1.000000       1.458452       1.465704
       0.037333       1.463555       1.460820       1.000000       1.458555       1.465813
       0.038000       1.463661       1.460926       1.000000       1.458657       1.465922
       0.038667       1.463767       1.461032       1.000000       1.458760       1.466031
       0.039333       1.463873       1.461138       1.000000       1.458862       1.466140
       0.040000       1.463979       1.461244       1.000000       1.458965       1.466249
       0.040667       1.464085       1.461349       1.000000       1.459068       1.466359
       0.041333       1.464190       1.461456       1.000000       1.459170       1.466469
       0.042000       1.464296       1.461563       1.000000       1.459273       1.466578
       0.042667       1.464403       1.461668       1.000000       1.459376       1.466687
       0.043333       1.464509       1.461775       1.000000       1.459479       1.466797
       0.044000       1.464615       1.461881       1.000000       1.459581       1.466906
       0.044667       1.464721       1.461988       1.000000       1.459685       1.467016
       0.045333       1.464827       1.462094       1.000000       1.459788       1.467126
       0.046000       1.464933       1.462201       1.000000       1.459891       1.467236
       0.046667       1.465040       1.462308       1.000000       1.459994       1.467346
       0.047333       1.465146       1.462414       1.000000       1.460097       1.467456
       0.048000       1.465253       1.462521       1.000000       1.460201       1.467566
       0.048667       1.465359       1.462628       1.000000       1.460304       1.467675
       0.049333       1.465466       1.462735       1.000000       1.460407       1.467786
       0.050000       1.465573       1.462841       1.000000       1.460510       1.467896
       0.050667       1.465679       1.462948       1.000000       1.460614       1.468006
       0.051333       1.465786       1.463056       1.000000       1.460717       1.468116
       0.052000       1.465893       1.463162       1.000000       1.460821       1.468226
       0.052667       1.466000       1.463270       1.000000       1.460925       1.468337
       0.053333       1.466106       1.463377       1.000000       1.461028       1.468447
       0.054000       1.466213       1.463485       1.000000       1.461132       1.468558
       0.054667       1.466321       1.463591       1.000000       1.461236       1.468668
       0.055333       1.466428       1.463699       1.000000       1.461339       1.468779
       0.056000       1.466535       1.463806       1.000000       1.461443       1.468889
       0.056667       1.466642       1.463914       1.000000       1.461547       1.469000
       0.057333       1.466749       1.464021       1.000000       1.461651       1.469111
       0.058000       1.466856       1.464129       1.000000       1.461755       1.469222
       0.058667       1.466964       1.464236       1.000000       1.461859       1.469333
       0.059333       1.467071       1.464344       1.000000       1.461963       1.469444
       0.060000       1.467179       1.464452       1.000000       1.462067       1.469554
       0.060667       1.467286       1.464560       1.000000       1.462172       1.469666
       0.061333       1.467394       1.464667       1.000000       1.462276       1.469777
       0.062000       1.467502       1.464775       1.000000       1.462380       1.469888
       0.062667       1.467609       1.464883       1.000000       1.462484       1.470000
       0.063333       1.467717       1.464991       1.000000       1.462589       1.470111
       0.064000       1.467825       1.465099       1.000000       1.462693       1.470222
       0.064667       1.467933       1.465207       1.000000       1.462798       1.470333
       0.065333       1.468041       1.465315       1.000000       1.462903       1.470445
       0.066000       1.468148       1.465424       1.000000       1.463007       1.470557
       0.066667       1.468256       1.465532       1.000000       1.463112       1.470668
       0.067333       1.468365       1.465640       1.000000       1.463216       1.470780
       0.068000       1.468473       1.465749       1.000000       1.463322       1.470892
       0.068667       1.468581       1.465857       1.000000       1.463426       1.471003
       0.069333       1.468689       1.465966       1.000000       1.463531       1.471116
       0.070000       1.468797       1.466074       1.000000       1.463636       1.471227
       0.070667       1.468906       1.466183       1.000000       1.463741       1.471339
       0.071333       1.469014       1.466291       1.000000       1.463846       1.471451
       0.072000       1.469123       1.466400       1.000000       1.463951       1.471563
       0.072667       1.469231       1.466509       1.000000       1.464056       1.471676
       0.073333       1.469340       1.466618       1.000000       1.464161       1.471788
       0.074000       1.469448       1.466727       1.000000       1.464266       1.471900
       0.074667       1.469557       1.466836       1.000000       1.464372       1.472013
       0.075333       1.469666       1.466945       1.000000       1.464477       1.472125
       0.076000       1.469774       1.467054       1.000000       1.464583       1.472237
       0.076667       1.469883       1.467163       1.000000       1.464688       1.472350
       0.077333       1.469992       1.467272       1.000000       1.464794       1.472462
       0.078000       1.470101       1.467381       1.000000       1.464899       1.472575
       0.078667       1.470210       1.467490       1.000000       1.465005       1.472688
       0.079333       1.470319       1.467600       1.000000       1.465110       1.472800
       0.080000       1.470428       1.467709       1.000000       1.465216       1.472913
       0.080667       1.470538       1.467819       1.000000       1.465322       1.473026
       0.081333       1.470647       1.467929       1.000000       1.465428       1.473139
       0.082000       1.470756       1.468038       1.000000       1.465533       1.473253
       0.082667       1.470866       1.468148       1.000000       1.465639       1.473365
       0.083333       1.470975       1.468257       1.000000       1.465745       1.473479
       0.084000       1.471085       1.468367       1.000000       1.465852       1.473592
       0.084667       1.471194       1.468477       1.000000       1.465958       1.473705
       0.085333       1.471304       1.468587       1.000000       1.466063       1.473818
       0.086000       1.471413       1.468697       1.000000       1.466170       1.473931
       0.086667       1.471523       1.468807       1.000000       1.466276       1.474044
       0.087333       1.471633       1.468917       1.000000       1.466382       1.474158
       0.088000       1.471743       1.469027       1.000000       1.466489       1.474272
       0.088667       1.471853       1.469137       1.000000       1.466595       1.474386
       0.089333       1.471962       1.469247       1.000000       1.466701       1.474499
       0.090000       1.472072       1.469358       1.000000       1.466808       1.474613
       0.090667       1.472183       1.469468       1.000000       1.466915       1.474727
       0.091333       1.472293       1.469578       1.000000       1.467021       1.474841
       0.092000       1.472403       1.469689       1.000000       1.467128       1.474955
       0.092667       1.472513       1.469799       1.000000       1.467234       1.475069
       0.093333       1.472624       1.469910       1.000000       1.467341       1.475183
       0.094000       1.472733       1.470020       1.000000       1.467448       1.475297
       0.094667       1.472844       1.470131       1.000000       1.467555       1.475411
       0.095333       1.472955       1.470242       1.000000       1.467662       1.475525
       0.096000       1.473065       1.470353       1.000000       1.467769       1.475639
       0.096667       1.473176       1.470464       1.000000       1.467876       1.475754
       0.097333       1.473286       1.470574       1.000000       1.467983       1.475869
       0.098000       1.473397       1.470685       1.000000       1.468090       1.475982
       0.098667       1.473507       1.470796       1.000000       1.468197       1.476097
       0.099333       1.473618       1.470907       1.000000       1.468304       1.476212
       0.100000       1.473729       1.471018       1.000000       1.468412       1.476326
       0.100667       1.473840       1.471130       1.000000       1.468519       1.476441
       0.101333       1.473951       1.471241       1.000000       1.468626       1.476556
       0.102000       1.474062       1.471352       1.000000       1.468734       1.476671
       0.102667       1.474173       1.471464       1.000000       1.468842       1.476785
       0.103333       1.474285       1.471575       1.000000       1.468949       1.476901
       0.104000       1.474395       1.471686       1.000000       1.469057       1.477016
       0.104667       1.474507       1.471798       1.000000       1.469164       1.477131
       0.105333       1.474618       1.471910       1.000000       1.469272       1.477246
       0.106000       1.474730       1.472021       1.000000       1.469380       1.477361
       0.106667       1.474841       1.472133       1.000000       1.469488       1.477476
       0.107333       1.474952       1.472245       1.000000       1.469596       1.477592
       0.108000       1.475064       1.472357       1.000000       1.469704       1.477707
       0.108667       1.475175       1.472469       1.000000       1.469812       1.477822
       0.109333       1.475287       1.472580       1.000000       1.469920       1.477938
