 #  energy  xx  yy  zz  xy  xz  yz
       0.000000       1.457720       1.454972       1.000000       0.000000       0.000000       0.000000
       0.000667       1.457823       1.455075       1.000000       0.000000       0.000000       0.000000
       0.001333       1.457926       1.455178       1.000000       0.000000       0.000000       0.000000
       0.002000       1.458029       1.455281       1.000000       0.000000       0.000000       0.000000
       0.002667       1.458132       1.455384       1.000000       0.000000       0.000000       0.000000
       0.003333       1.458235       1.455487       1.000000       0.000000       0.000000       0.000000
       0.004000       1.458338       1.455590       1.000000       0.000000       0.000000       0.000000
       0.004667       1.458441       1.455694       1.000000       0.000000       0.000000       0.000000
       0.005333       1.458544       1.455797       1.000000       0.000000       0.000000       0.000000
       0.006000       1.458647       1.455901       1.000000       0.000000       0.000000       0.000000
       0.006667       1.458750       1.456004       1.000000       0.000000       0.000000       0.000000
       0.007333       1.458854       1.456108       1.000000       0.000000       0.000000       0.000000
       0.008000       1.458957       1.456211       1.000000       0.000000       0.000000       0.000000
       0.008667       1.459061       1.456315       1.000000       0.000000       0.000000       0.000000
       0.009333       1.459164       1.456418       1.000000       0.000000       0.000000       0.000000
       0.010000       1.459268       1.456522       1.000000       0.000000       0.000000       0.000000
       0.010667       1.459371       1.456626       1.000000       0.000000       0.000000       0.000000
       0.011333       1.459475       1.456730       1.000000       0.000000       0.000000       0.000000
       0.012000       1.459578       1.456834       1.000000       0.000000       0.000000       0.000000
       0.012667       1.459682       1.456937       1.000000       0.000000       0.000000       0.000000
       0.013333       1.459786       1.457042       1.000000       0.000000       0.000000       0.000000
       0.014000       1.459890       1.457145       1.000000       0.000000       0.000000       0.000000
       0.014667       1.459993       1.457249       1.000000       0.000000       0.000000       0.000000
       0.015333       1.460097       1.457353       1.000000       0.000000       0.000000       0.000000
       0.016000       1.460201       1.457458       1.000000       0.000000       0.000000       0.000000
       0.016667       1.460305       1.457562       1.000000       0.000000       0.000000       0.000000
       0.017333       1.460409       1.457666       1.000000       0.000000       0.000000       0.000000
       0.018000       1.460513       1.457771       1.000000       0.000000       0.000000       0.000000
       0.018667       1.460618       1.457875       1.000000       0.000000       0.000000       0.000000
       0.019333       1.460722       1.457979       1.000000       0.000000       0.000000       0.000000
       0.020000       1.460826       1.458084       1.000000       0.000000       0.000000       0.000000
       0.020667       1.460930       1.458189       1.000000       0.000000       0.000000       0.000000
       0.021333       1.461035       1.458293       1.000000       0.000000       0.000000       0.000000
       0.022000       1.461139       1.458398       1.000000       0.000000       0.000000       0.000000
       0.022667       1.461243       1.458503       1.000000       0.000000       0.000000       0.000000
       0.023333       1.461348       1.458608       1.000000       0.000000       0.000000       0.000000
       0.024000       1.461453       1.458712       1.000000       0.000000       0.000000       0.000000
       0.024667       1.461557       1.458817       1.000000       0.000000       0.000000       0.000000
       0.025333       1.461662       1.458922       1.000000       0.000000       0.000000       0.000000
       0.026000       1.461767       1.459027       1.000000       0.000000       0.000000       0.000000
       0.026667       1.461871       1.459132       1.000000       0.000000       0.000000       0.000000
       0.027333       1.461976       1.459237       1.000000       0.000000       0.000000       0.000000
       0.028000       1.462081       1.459342       1.000000       0.000000       0.000000       0.000000
       0.028667       1.462186       1.459448       1.000000       0.000000       0.000000       0.000000
       0.029333       1.462291       1.459552       1.000000       0.000000       0.000000       0.000000
       0.030000       1.462396       1.459657       1.000000       0.000000       0.000000       0.000000
       0.030667       1.462501       1.459763       1.000000       0.000000       0.000000       0.000000
       0.031333       1.462607       1.459869       1.000000       0.000000       0.000000       0.000000
       0.032000       1.462711       1.459974       1.000000       0.000000       0.000000       0.000000
       0.032667       1.462817       1.460080       1.000000       0.000000       0.000000       0.000000
