 #  energy  real  imag
  0.0000000E+00   1.878646      0.0000000E+00
  6.6666666E-04   1.878824      0.0000000E+00
  1.3333333E-03   1.879002      0.0000000E+00
  2.0000001E-03   1.879179      0.0000000E+00
  2.6666666E-03   1.879358      0.0000000E+00
  3.3333334E-03   1.879535      0.0000000E+00
  4.0000002E-03   1.879714      0.0000000E+00
  4.6666665E-03   1.879892      0.0000000E+00
  5.3333333E-03   1.880071      0.0000000E+00
  6.0000001E-03   1.880249      0.0000000E+00
  6.6666668E-03   1.880428      0.0000000E+00
  7.3333331E-03   1.880606      0.0000000E+00
  8.0000004E-03   1.880785      0.0000000E+00
  8.6666662E-03   1.880964      0.0000000E+00
  9.3333330E-03   1.881143      0.0000000E+00
  9.9999998E-03   1.881322      0.0000000E+00
  1.0666667E-02   1.881500      0.0000000E+00
  1.1333333E-02   1.881680      0.0000000E+00
  1.2000000E-02   1.881859      0.0000000E+00
  1.2666667E-02   1.882038      0.0000000E+00
  1.3333334E-02   1.882217      0.0000000E+00
  1.4000000E-02   1.882396      0.0000000E+00
  1.4666666E-02   1.882576      0.0000000E+00
  1.5333333E-02   1.882756      0.0000000E+00
  1.6000001E-02   1.882934      0.0000000E+00
  1.6666668E-02   1.883115      0.0000000E+00
  1.7333332E-02   1.883294      0.0000000E+00
  1.7999999E-02   1.883474      0.0000000E+00
  1.8666666E-02   1.883654      0.0000000E+00
  1.9333333E-02   1.883834      0.0000000E+00
  2.0000000E-02   1.884013      0.0000000E+00
  2.0666666E-02   1.884194      0.0000000E+00
  2.1333333E-02   1.884374      0.0000000E+00
  2.2000000E-02   1.884554      0.0000000E+00
  2.2666667E-02   1.884735      0.0000000E+00
  2.3333333E-02   1.884915      0.0000000E+00
  2.4000000E-02   1.885096      0.0000000E+00
  2.4666667E-02   1.885276      0.0000000E+00
  2.5333334E-02   1.885457      0.0000000E+00
  2.6000001E-02   1.885637      0.0000000E+00
  2.6666667E-02   1.885818      0.0000000E+00
  2.7333334E-02   1.885999      0.0000000E+00
  2.8000001E-02   1.886180      0.0000000E+00
  2.8666666E-02   1.886362      0.0000000E+00
  2.9333333E-02   1.886542      0.0000000E+00
  2.9999999E-02   1.886723      0.0000000E+00
  3.0666666E-02   1.886904      0.0000000E+00
  3.1333335E-02   1.887086      0.0000000E+00
  3.2000002E-02   1.887267      0.0000000E+00
  3.2666668E-02   1.887449      0.0000000E+00
  3.3333335E-02   1.887630      0.0000000E+00
  3.4000002E-02   1.887811      0.0000000E+00
  3.4666665E-02   1.887993      0.0000000E+00
  3.5333332E-02   1.888175      0.0000000E+00
  3.5999998E-02   1.888357      0.0000000E+00
  3.6666665E-02   1.888539      0.0000000E+00
  3.7333332E-02   1.888721      0.0000000E+00
  3.7999999E-02   1.888903      0.0000000E+00
  3.8666666E-02   1.889085      0.0000000E+00
  3.9333332E-02   1.889267      0.0000000E+00
  3.9999999E-02   1.889450      0.0000000E+00
  4.0666666E-02   1.889631      0.0000000E+00
  4.1333333E-02   1.889814      0.0000000E+00
  4.1999999E-02   1.889997      0.0000000E+00
  4.2666666E-02   1.890179      0.0000000E+00
  4.3333333E-02   1.890363      0.0000000E+00
  4.4000000E-02   1.890545      0.0000000E+00
  4.4666667E-02   1.890728      0.0000000E+00
  4.5333333E-02   1.890911      0.0000000E+00
  4.6000000E-02   1.891094      0.0000000E+00
  4.6666667E-02   1.891276      0.0000000E+00
  4.7333334E-02   1.891460      0.0000000E+00
  4.8000000E-02   1.891643      0.0000000E+00
  4.8666667E-02   1.891827      0.0000000E+00
  4.9333334E-02   1.892010      0.0000000E+00
  5.0000001E-02   1.892193      0.0000000E+00
  5.0666668E-02   1.892377      0.0000000E+00
  5.1333334E-02   1.892560      0.0000000E+00
  5.2000001E-02   1.892744      0.0000000E+00
