 #  energy  real  imag
  0.0000000E+00   1.878649      0.0000000E+00
  6.6666666E-04   1.878827      0.0000000E+00
  1.3333333E-03   1.879005      0.0000000E+00
  2.0000001E-03   1.879183      0.0000000E+00
  2.6666666E-03   1.879361      0.0000000E+00
  3.3333334E-03   1.879539      0.0000000E+00
  4.0000002E-03   1.879717      0.0000000E+00
  4.6666665E-03   1.879895      0.0000000E+00
  5.3333333E-03   1.880074      0.0000000E+00
  6.0000001E-03   1.880252      0.0000000E+00
  6.6666668E-03   1.880431      0.0000000E+00
  7.3333331E-03   1.880610      0.0000000E+00
  8.0000004E-03   1.880788      0.0000000E+00
  8.6666662E-03   1.880967      0.0000000E+00
  9.3333330E-03   1.881146      0.0000000E+00
  9.9999998E-03   1.881324      0.0000000E+00
  1.0666667E-02   1.881503      0.0000000E+00
  1.1333333E-02   1.881683      0.0000000E+00
  1.2000000E-02   1.881862      0.0000000E+00
  1.2666667E-02   1.882041      0.0000000E+00
  1.3333334E-02   1.882220      0.0000000E+00
  1.4000000E-02   1.882399      0.0000000E+00
  1.4666666E-02   1.882579      0.0000000E+00
  1.5333333E-02   1.882758      0.0000000E+00
  1.6000001E-02   1.882938      0.0000000E+00
  1.6666668E-02   1.883118      0.0000000E+00
  1.7333332E-02   1.883298      0.0000000E+00
  1.7999999E-02   1.883477      0.0000000E+00
  1.8666666E-02   1.883657      0.0000000E+00
  1.9333333E-02   1.883837      0.0000000E+00
  2.0000000E-02   1.884017      0.0000000E+00
  2.0666666E-02   1.884197      0.0000000E+00
  2.1333333E-02   1.884378      0.0000000E+00
  2.2000000E-02   1.884558      0.0000000E+00
  2.2666667E-02   1.884738      0.0000000E+00
  2.3333333E-02   1.884918      0.0000000E+00
  2.4000000E-02   1.885099      0.0000000E+00
  2.4666667E-02   1.885279      0.0000000E+00
  2.5333334E-02   1.885460      0.0000000E+00
  2.6000001E-02   1.885641      0.0000000E+00
  2.6666667E-02   1.885821      0.0000000E+00
  2.7333334E-02   1.886002      0.0000000E+00
  2.8000001E-02   1.886183      0.0000000E+00
  2.8666666E-02   1.886364      0.0000000E+00
  2.9333333E-02   1.886545      0.0000000E+00
  2.9999999E-02   1.886726      0.0000000E+00
