 #  energy  real  imag
  0.0000000E+00   1.884981      0.0000000E+00
  6.6666666E-04   1.885160      0.0000000E+00
  1.3333333E-03   1.885339      0.0000000E+00
  2.0000001E-03   1.885518      0.0000000E+00
  2.6666666E-03   1.885697      0.0000000E+00
  3.3333334E-03   1.885877      0.0000000E+00
  4.0000002E-03   1.886056      0.0000000E+00
  4.6666665E-03   1.886235      0.0000000E+00
  5.3333333E-03   1.886415      0.0000000E+00
  6.0000001E-03   1.886594      0.0000000E+00
  6.6666668E-03   1.886774      0.0000000E+00
  7.3333331E-03   1.886954      0.0000000E+00
  8.0000004E-03   1.887134      0.0000000E+00
  8.6666662E-03   1.887313      0.0000000E+00
  9.3333330E-03   1.887493      0.0000000E+00
  9.9999998E-03   1.887674      0.0000000E+00
  1.0666667E-02   1.887854      0.0000000E+00
  1.1333333E-02   1.888034      0.0000000E+00
  1.2000000E-02   1.888214      0.0000000E+00
  1.2666667E-02   1.888394      0.0000000E+00
  1.3333334E-02   1.888575      0.0000000E+00
  1.4000000E-02   1.888755      0.0000000E+00
  1.4666666E-02   1.888935      0.0000000E+00
  1.5333333E-02   1.889116      0.0000000E+00
  1.6000001E-02   1.889297      0.0000000E+00
  1.6666668E-02   1.889478      0.0000000E+00
  1.7333332E-02   1.889658      0.0000000E+00
  1.7999999E-02   1.889840      0.0000000E+00
  1.8666666E-02   1.890021      0.0000000E+00
  1.9333333E-02   1.890201      0.0000000E+00
  2.0000000E-02   1.890383      0.0000000E+00
  2.0666666E-02   1.890564      0.0000000E+00
  2.1333333E-02   1.890745      0.0000000E+00
  2.2000000E-02   1.890927      0.0000000E+00
  2.2666667E-02   1.891108      0.0000000E+00
  2.3333333E-02   1.891290      0.0000000E+00
  2.4000000E-02   1.891471      0.0000000E+00
  2.4666667E-02   1.891653      0.0000000E+00
  2.5333334E-02   1.891834      0.0000000E+00
  2.6000001E-02   1.892016      0.0000000E+00
  2.6666667E-02   1.892199      0.0000000E+00
  2.7333334E-02   1.892380      0.0000000E+00
  2.8000001E-02   1.892563      0.0000000E+00
  2.8666666E-02   1.892745      0.0000000E+00
  2.9333333E-02   1.892927      0.0000000E+00
  2.9999999E-02   1.893109      0.0000000E+00
  3.0666666E-02   1.893292      0.0000000E+00
  3.1333335E-02   1.893474      0.0000000E+00
  3.2000002E-02   1.893656      0.0000000E+00
  3.2666668E-02   1.893839      0.0000000E+00
  3.3333335E-02   1.894022      0.0000000E+00
  3.4000002E-02   1.894205      0.0000000E+00
  3.4666665E-02   1.894388      0.0000000E+00
  3.5333332E-02   1.894570      0.0000000E+00
  3.5999998E-02   1.894753      0.0000000E+00
  3.6666665E-02   1.894937      0.0000000E+00
  3.7333332E-02   1.895120      0.0000000E+00
  3.7999999E-02   1.895303      0.0000000E+00
  3.8666666E-02   1.895486      0.0000000E+00
  3.9333332E-02   1.895670      0.0000000E+00
  3.9999999E-02   1.895853      0.0000000E+00
  4.0666666E-02   1.896037      0.0000000E+00
  4.1333333E-02   1.896220      0.0000000E+00
  4.1999999E-02   1.896404      0.0000000E+00
  4.2666666E-02   1.896587      0.0000000E+00
  4.3333333E-02   1.896771      0.0000000E+00
  4.4000000E-02   1.896956      0.0000000E+00
  4.4666667E-02   1.897139      0.0000000E+00
  4.5333333E-02   1.897324      0.0000000E+00
  4.6000000E-02   1.897508      0.0000000E+00
  4.6666667E-02   1.897692      0.0000000E+00
  4.7333334E-02   1.897877      0.0000000E+00
  4.8000000E-02   1.898061      0.0000000E+00
  4.8666667E-02   1.898245      0.0000000E+00
  4.9333334E-02   1.898430      0.0000000E+00
  5.0000001E-02   1.898614      0.0000000E+00
  5.0666668E-02   1.898799      0.0000000E+00
  5.1333334E-02   1.898984      0.0000000E+00
  5.2000001E-02   1.899168      0.0000000E+00
  5.2666668E-02   1.899354      0.0000000E+00
  5.3333335E-02   1.899539      0.0000000E+00
  5.4000001E-02   1.899723      0.0000000E+00
  5.4666668E-02   1.899909      0.0000000E+00
  5.5333335E-02   1.900095      0.0000000E+00
  5.6000002E-02   1.900280      0.0000000E+00
  5.6666669E-02   1.900465      0.0000000E+00
  5.7333332E-02   1.900650      0.0000000E+00
  5.7999998E-02   1.900836      0.0000000E+00
  5.8666665E-02   1.901021      0.0000000E+00
  5.9333332E-02   1.901207      0.0000000E+00
  5.9999999E-02   1.901393      0.0000000E+00
  6.0666665E-02   1.901579      0.0000000E+00
  6.1333332E-02   1.901765      0.0000000E+00
  6.1999999E-02   1.901950      0.0000000E+00
  6.2666669E-02   1.902137      0.0000000E+00
  6.3333333E-02   1.902323      0.0000000E+00
  6.4000003E-02   1.902510      0.0000000E+00
  6.4666666E-02   1.902697      0.0000000E+00
  6.5333337E-02   1.902882      0.0000000E+00
  6.6000000E-02   1.903069      0.0000000E+00
  6.6666670E-02   1.903255      0.0000000E+00
  6.7333333E-02   1.903443      0.0000000E+00
  6.8000004E-02   1.903629      0.0000000E+00
  6.8666667E-02   1.903816      0.0000000E+00
  6.9333330E-02   1.904003      0.0000000E+00
  7.0000000E-02   1.904190      0.0000000E+00
  7.0666663E-02   1.904377      0.0000000E+00
  7.1333334E-02   1.904564      0.0000000E+00
  7.1999997E-02   1.904751      0.0000000E+00
  7.2666667E-02   1.904939      0.0000000E+00
  7.3333330E-02   1.905126      0.0000000E+00
  7.4000001E-02   1.905313      0.0000000E+00
  7.4666664E-02   1.905501      0.0000000E+00
  7.5333335E-02   1.905689      0.0000000E+00
  7.5999998E-02   1.905876      0.0000000E+00
  7.6666668E-02   1.906064      0.0000000E+00
  7.7333331E-02   1.906252      0.0000000E+00
  7.8000002E-02   1.906440      0.0000000E+00
  7.8666665E-02   1.906627      0.0000000E+00
  7.9333335E-02   1.906816      0.0000000E+00
  7.9999998E-02   1.907005      0.0000000E+00
