 #  energy  real  imag
  0.0000000E+00   1.872314      0.0000000E+00
  6.6666666E-04   1.872490      0.0000000E+00
  1.3333333E-03   1.872667      0.0000000E+00
  2.0000001E-03   1.872845      0.0000000E+00
  2.6666666E-03   1.873021      0.0000000E+00
  3.3333334E-03   1.873198      0.0000000E+00
  4.0000002E-03   1.873375      0.0000000E+00
  4.6666665E-03   1.873553      0.0000000E+00
  5.3333333E-03   1.873730      0.0000000E+00
  6.0000001E-03   1.873907      0.0000000E+00
  6.6666668E-03   1.874085      0.0000000E+00
  7.3333331E-03   1.874261      0.0000000E+00
  8.0000004E-03   1.874439      0.0000000E+00
  8.6666662E-03   1.874617      0.0000000E+00
  9.3333330E-03   1.874794      0.0000000E+00
  9.9999998E-03   1.874972      0.0000000E+00
  1.0666667E-02   1.875150      0.0000000E+00
  1.1333333E-02   1.875328      0.0000000E+00
  1.2000000E-02   1.875506      0.0000000E+00
  1.2666667E-02   1.875684      0.0000000E+00
  1.3333334E-02   1.875862      0.0000000E+00
  1.4000000E-02   1.876040      0.0000000E+00
  1.4666666E-02   1.876219      0.0000000E+00
  1.5333333E-02   1.876397      0.0000000E+00
  1.6000001E-02   1.876575      0.0000000E+00
  1.6666668E-02   1.876754      0.0000000E+00
  1.7333332E-02   1.876933      0.0000000E+00
  1.7999999E-02   1.877111      0.0000000E+00
  1.8666666E-02   1.877290      0.0000000E+00
  1.9333333E-02   1.877469      0.0000000E+00
  2.0000000E-02   1.877648      0.0000000E+00
  2.0666666E-02   1.877826      0.0000000E+00
  2.1333333E-02   1.878005      0.0000000E+00
  2.2000000E-02   1.878185      0.0000000E+00
  2.2666667E-02   1.878364      0.0000000E+00
  2.3333333E-02   1.878544      0.0000000E+00
  2.4000000E-02   1.878722      0.0000000E+00
  2.4666667E-02   1.878902      0.0000000E+00
  2.5333334E-02   1.879081      0.0000000E+00
  2.6000001E-02   1.879261      0.0000000E+00
  2.6666667E-02   1.879440      0.0000000E+00
  2.7333334E-02   1.879620      0.0000000E+00
  2.8000001E-02   1.879799      0.0000000E+00
  2.8666666E-02   1.879980      0.0000000E+00
  2.9333333E-02   1.880160      0.0000000E+00
  2.9999999E-02   1.880340      0.0000000E+00
  3.0666666E-02   1.880520      0.0000000E+00
  3.1333335E-02   1.880700      0.0000000E+00
  3.2000002E-02   1.880880      0.0000000E+00
  3.2666668E-02   1.881060      0.0000000E+00
  3.3333335E-02   1.881241      0.0000000E+00
  3.4000002E-02   1.881421      0.0000000E+00
  3.4666665E-02   1.881602      0.0000000E+00
  3.5333332E-02   1.881783      0.0000000E+00
  3.5999998E-02   1.881963      0.0000000E+00
  3.6666665E-02   1.882144      0.0000000E+00
  3.7333332E-02   1.882325      0.0000000E+00
  3.7999999E-02   1.882505      0.0000000E+00
  3.8666666E-02   1.882686      0.0000000E+00
  3.9333332E-02   1.882868      0.0000000E+00
  3.9999999E-02   1.883049      0.0000000E+00
  4.0666666E-02   1.883230      0.0000000E+00
  4.1333333E-02   1.883411      0.0000000E+00
  4.1999999E-02   1.883593      0.0000000E+00
  4.2666666E-02   1.883774      0.0000000E+00
  4.3333333E-02   1.883956      0.0000000E+00
  4.4000000E-02   1.884137      0.0000000E+00
  4.4666667E-02   1.884319      0.0000000E+00
  4.5333333E-02   1.884500      0.0000000E+00
  4.6000000E-02   1.884683      0.0000000E+00
  4.6666667E-02   1.884865      0.0000000E+00
  4.7333334E-02   1.885046      0.0000000E+00
  4.8000000E-02   1.885228      0.0000000E+00
  4.8666667E-02   1.885411      0.0000000E+00
  4.9333334E-02   1.885593      0.0000000E+00
  5.0000001E-02   1.885775      0.0000000E+00
  5.0666668E-02   1.885957      0.0000000E+00
  5.1333334E-02   1.886140      0.0000000E+00
  5.2000001E-02   1.886322      0.0000000E+00
  5.2666668E-02   1.886505      0.0000000E+00
  5.3333335E-02   1.886688      0.0000000E+00
  5.4000001E-02   1.886870      0.0000000E+00
  5.4666668E-02   1.887053      0.0000000E+00
  5.5333335E-02   1.887236      0.0000000E+00
  5.6000002E-02   1.887419      0.0000000E+00
  5.6666669E-02   1.887602      0.0000000E+00
  5.7333332E-02   1.887786      0.0000000E+00
  5.7999998E-02   1.887969      0.0000000E+00
  5.8666665E-02   1.888152      0.0000000E+00
  5.9333332E-02   1.888336      0.0000000E+00
  5.9999999E-02   1.888519      0.0000000E+00
  6.0666665E-02   1.888703      0.0000000E+00
  6.1333332E-02   1.888886      0.0000000E+00
  6.1999999E-02   1.889070      0.0000000E+00
  6.2666669E-02   1.889253      0.0000000E+00
  6.3333333E-02   1.889438      0.0000000E+00
  6.4000003E-02   1.889621      0.0000000E+00
  6.4666666E-02   1.889805      0.0000000E+00
  6.5333337E-02   1.889989      0.0000000E+00
  6.6000000E-02   1.890173      0.0000000E+00
  6.6666670E-02   1.890358      0.0000000E+00
  6.7333333E-02   1.890542      0.0000000E+00
  6.8000004E-02   1.890726      0.0000000E+00
  6.8666667E-02   1.890911      0.0000000E+00
  6.9333330E-02   1.891096      0.0000000E+00
  7.0000000E-02   1.891281      0.0000000E+00
  7.0666663E-02   1.891465      0.0000000E+00
  7.1333334E-02   1.891650      0.0000000E+00
  7.1999997E-02   1.891834      0.0000000E+00
  7.2666667E-02   1.892020      0.0000000E+00
  7.3333330E-02   1.892205      0.0000000E+00
  7.4000001E-02   1.892390      0.0000000E+00
  7.4666664E-02   1.892575      0.0000000E+00
  7.5333335E-02   1.892760      0.0000000E+00
  7.5999998E-02   1.892945      0.0000000E+00
  7.6666668E-02   1.893131      0.0000000E+00
  7.7333331E-02   1.893317      0.0000000E+00
  7.8000002E-02   1.893502      0.0000000E+00
  7.8666665E-02   1.893688      0.0000000E+00
  7.9333335E-02   1.893873      0.0000000E+00
  7.9999998E-02   1.894059      0.0000000E+00
  8.0666669E-02   1.894245      0.0000000E+00
  8.1333332E-02   1.894431      0.0000000E+00
  8.2000002E-02   1.894618      0.0000000E+00
  8.2666665E-02   1.894803      0.0000000E+00
  8.3333336E-02   1.894989      0.0000000E+00
  8.3999999E-02   1.895176      0.0000000E+00
  8.4666669E-02   1.895362      0.0000000E+00
  8.5333332E-02   1.895549      0.0000000E+00
  8.6000003E-02   1.895735      0.0000000E+00
  8.6666666E-02   1.895922      0.0000000E+00
  8.7333336E-02   1.896108      0.0000000E+00
  8.8000000E-02   1.896296      0.0000000E+00
  8.8666670E-02   1.896482      0.0000000E+00
  8.9333333E-02   1.896669      0.0000000E+00
  9.0000004E-02   1.896857      0.0000000E+00
  9.0666667E-02   1.897043      0.0000000E+00
  9.1333330E-02   1.897231      0.0000000E+00
  9.2000000E-02   1.897417      0.0000000E+00
  9.2666663E-02   1.897605      0.0000000E+00
  9.3333334E-02   1.897792      0.0000000E+00
  9.3999997E-02   1.897980      0.0000000E+00
  9.4666667E-02   1.898168      0.0000000E+00
  9.5333330E-02   1.898355      0.0000000E+00
  9.6000001E-02   1.898543      0.0000000E+00
  9.6666664E-02   1.898731      0.0000000E+00
  9.7333334E-02   1.898919      0.0000000E+00
  9.7999997E-02   1.899107      0.0000000E+00
  9.8666668E-02   1.899295      0.0000000E+00
  9.9333331E-02   1.899483      0.0000000E+00
  0.1000000       1.899671      0.0000000E+00
  0.1006667       1.899860      0.0000000E+00
  0.1013333       1.900048      0.0000000E+00
  0.1020000       1.900236      0.0000000E+00
  0.1026667       1.900425      0.0000000E+00
  0.1033333       1.900614      0.0000000E+00
  0.1040000       1.900802      0.0000000E+00
  0.1046667       1.900991      0.0000000E+00
  0.1053333       1.901180      0.0000000E+00
  0.1060000       1.901369      0.0000000E+00
  0.1066667       1.901558      0.0000000E+00
  0.1073333       1.901747      0.0000000E+00
  0.1080000       1.901937      0.0000000E+00
  0.1086667       1.902126      0.0000000E+00
  0.1093333       1.902315      0.0000000E+00
  0.1100000       1.902504      0.0000000E+00
  0.1106667       1.902694      0.0000000E+00
  0.1113333       1.902884      0.0000000E+00
  0.1120000       1.903073      0.0000000E+00
  0.1126667       1.903263      0.0000000E+00
  0.1133333       1.903453      0.0000000E+00
  0.1140000       1.903643      0.0000000E+00
  0.1146667       1.903833      0.0000000E+00
  0.1153333       1.904023      0.0000000E+00
  0.1160000       1.904213      0.0000000E+00
  0.1166667       1.904404      0.0000000E+00
  0.1173333       1.904594      0.0000000E+00
  0.1180000       1.904784      0.0000000E+00
  0.1186667       1.904975      0.0000000E+00
  0.1193333       1.905166      0.0000000E+00
  0.1200000       1.905356      0.0000000E+00
  0.1206667       1.905547      0.0000000E+00
  0.1213333       1.905738      0.0000000E+00
  0.1220000       1.905929      0.0000000E+00
  0.1226667       1.906119      0.0000000E+00
  0.1233333       1.906311      0.0000000E+00
  0.1240000       1.906502      0.0000000E+00
  0.1246667       1.906693      0.0000000E+00
  0.1253333       1.906885      0.0000000E+00
  0.1260000       1.907076      0.0000000E+00
  0.1266667       1.907267      0.0000000E+00
  0.1273333       1.907460      0.0000000E+00
  0.1280000       1.907650      0.0000000E+00
  0.1286667       1.907843      0.0000000E+00
  0.1293333       1.908034      0.0000000E+00
  0.1300000       1.908226      0.0000000E+00
  0.1306667       1.908418      0.0000000E+00
  0.1313333       1.908611      0.0000000E+00
  0.1320000       1.908802      0.0000000E+00
  0.1326667       1.908995      0.0000000E+00
  0.1333333       1.909188      0.0000000E+00
  0.1340000       1.909380      0.0000000E+00
  0.1346667       1.909572      0.0000000E+00
  0.1353333       1.909765      0.0000000E+00
  0.1360000       1.909958      0.0000000E+00
  0.1366667       1.910151      0.0000000E+00
  0.1373333       1.910343      0.0000000E+00
  0.1380000       1.910536      0.0000000E+00
  0.1386667       1.910729      0.0000000E+00
  0.1393333       1.910923      0.0000000E+00
  0.1400000       1.911116      0.0000000E+00
  0.1406667       1.911309      0.0000000E+00
  0.1413333       1.911502      0.0000000E+00
  0.1420000       1.911696      0.0000000E+00
  0.1426667       1.911889      0.0000000E+00
  0.1433333       1.912083      0.0000000E+00
  0.1440000       1.912277      0.0000000E+00
  0.1446667       1.912470      0.0000000E+00
  0.1453333       1.912664      0.0000000E+00
  0.1460000       1.912858      0.0000000E+00
  0.1466667       1.913052      0.0000000E+00
  0.1473333       1.913246      0.0000000E+00
  0.1480000       1.913440      0.0000000E+00
  0.1486667       1.913635      0.0000000E+00
  0.1493333       1.913829      0.0000000E+00
  0.1500000       1.914024      0.0000000E+00
  0.1506667       1.914218      0.0000000E+00
  0.1513333       1.914413      0.0000000E+00
  0.1520000       1.914608      0.0000000E+00
  0.1526667       1.914803      0.0000000E+00
  0.1533333       1.914997      0.0000000E+00
  0.1540000       1.915192      0.0000000E+00
  0.1546667       1.915388      0.0000000E+00
  0.1553333       1.915583      0.0000000E+00
  0.1560000       1.915777      0.0000000E+00
  0.1566667       1.915974      0.0000000E+00
  0.1573333       1.916168      0.0000000E+00
  0.1580000       1.916364      0.0000000E+00
  0.1586667       1.916560      0.0000000E+00
  0.1593333       1.916756      0.0000000E+00
  0.1600000       1.916951      0.0000000E+00
  0.1606667       1.917147      0.0000000E+00
  0.1613333       1.917343      0.0000000E+00
  0.1620000       1.917539      0.0000000E+00
  0.1626667       1.917736      0.0000000E+00
  0.1633333       1.917932      0.0000000E+00
  0.1640000       1.918127      0.0000000E+00
  0.1646667       1.918324      0.0000000E+00
  0.1653333       1.918520      0.0000000E+00
  0.1660000       1.918717      0.0000000E+00
  0.1666667       1.918914      0.0000000E+00
  0.1673333       1.919110      0.0000000E+00
  0.1680000       1.919306      0.0000000E+00
  0.1686667       1.919503      0.0000000E+00
  0.1693333       1.919700      0.0000000E+00
  0.1700000       1.919898      0.0000000E+00
  0.1706667       1.920095      0.0000000E+00
  0.1713333       1.920292      0.0000000E+00
  0.1720000       1.920489      0.0000000E+00
  0.1726667       1.920687      0.0000000E+00
  0.1733333       1.920885      0.0000000E+00
  0.1740000       1.921082      0.0000000E+00
  0.1746667       1.921280      0.0000000E+00
  0.1753333       1.921478      0.0000000E+00
  0.1760000       1.921675      0.0000000E+00
  0.1766667       1.921873      0.0000000E+00
  0.1773333       1.922071      0.0000000E+00
  0.1780000       1.922269      0.0000000E+00
  0.1786667       1.922468      0.0000000E+00
  0.1793333       1.922666      0.0000000E+00
  0.1800000       1.922864      0.0000000E+00
  0.1806667       1.923063      0.0000000E+00
  0.1813333       1.923261      0.0000000E+00
  0.1820000       1.923460      0.0000000E+00
  0.1826667       1.923658      0.0000000E+00
  0.1833333       1.923858      0.0000000E+00
  0.1840000       1.924056      0.0000000E+00
  0.1846667       1.924255      0.0000000E+00
  0.1853333       1.924454      0.0000000E+00
  0.1860000       1.924654      0.0000000E+00
  0.1866667       1.924853      0.0000000E+00
  0.1873333       1.925053      0.0000000E+00
  0.1880000       1.925252      0.0000000E+00
  0.1886667       1.925452      0.0000000E+00
  0.1893333       1.925651      0.0000000E+00
  0.1900000       1.925851      0.0000000E+00
  0.1906667       1.926051      0.0000000E+00
  0.1913333       1.926250      0.0000000E+00
  0.1920000       1.926450      0.0000000E+00
