 #  energy  xx  yy  zz  xy  xz  yz
       0.000000       0.000000       0.000000       0.000000       0.113160       0.000000       0.000000
       0.000667       0.000000       0.000000       0.000000       0.113170       0.000000       0.000000
       0.001333       0.000000       0.000000       0.000000       0.113180       0.000000       0.000000
       0.002000       0.000000       0.000000       0.000000       0.113191       0.000000       0.000000
       0.002667       0.000000       0.000000       0.000000       0.113201       0.000000       0.000000
       0.003333       0.000000       0.000000       0.000000       0.113211       0.000000       0.000000
       0.004000       0.000000       0.000000       0.000000       0.113221       0.000000       0.000000
       0.004667       0.000000       0.000000       0.000000       0.113231       0.000000       0.000000
       0.005333       0.000000       0.000000       0.000000       0.113242       0.000000       0.000000
       0.006000       0.000000       0.000000       0.000000       0.113252       0.000000       0.000000
       0.006667       0.000000       0.000000       0.000000       0.113262       0.000000       0.000000
       0.007333       0.000000       0.000000       0.000000       0.113272       0.000000       0.000000
       0.008000       0.000000       0.000000       0.000000       0.113283       0.000000       0.000000
       0.008667       0.000000       0.000000       0.000000       0.113293       0.000000       0.000000
       0.009333       0.000000       0.000000       0.000000       0.113303       0.000000       0.000000
       0.010000       0.000000       0.000000       0.000000       0.113313       0.000000       0.000000
       0.010667       0.000000       0.000000       0.000000       0.113323       0.000000       0.000000
       0.011333       0.000000       0.000000       0.000000       0.113334       0.000000       0.000000
       0.012000       0.000000       0.000000       0.000000       0.113344       0.000000       0.000000
       0.012667       0.000000       0.000000       0.000000       0.113354       0.000000       0.000000
       0.013333       0.000000       0.000000       0.000000       0.113364       0.000000       0.000000
       0.014000       0.000000       0.000000       0.000000       0.113375       0.000000       0.000000
       0.014667       0.000000       0.000000       0.000000       0.113385       0.000000       0.000000
       0.015333       0.000000       0.000000       0.000000       0.113395       0.000000       0.000000
       0.016000       0.000000       0.000000       0.000000       0.113405       0.000000       0.000000
       0.016667       0.000000       0.000000       0.000000       0.113416       0.000000       0.000000
       0.017333       0.000000       0.000000       0.000000       0.113426       0.000000       0.000000
       0.018000       0.000000       0.000000       0.000000       0.113436       0.000000       0.000000
       0.018667       0.000000       0.000000       0.000000       0.113447       0.000000       0.000000
       0.019333       0.000000       0.000000       0.000000       0.113457       0.000000       0.000000
       0.020000       0.000000       0.000000       0.000000       0.113467       0.000000       0.000000
       0.020667       0.000000       0.000000       0.000000       0.113477       0.000000       0.000000
       0.021333       0.000000       0.000000       0.000000       0.113488       0.000000       0.000000
       0.022000       0.000000       0.000000       0.000000       0.113498       0.000000       0.000000
       0.022667       0.000000       0.000000       0.000000       0.113508       0.000000       0.000000
       0.023333       0.000000       0.000000       0.000000       0.113518       0.000000       0.000000
