 #  energy  xx  yy  zz  xy  xz  yz
       0.000000       0.024701       0.024187       0.000000       1.000000       1.000000       1.000000
       0.000667       0.024708       0.024194       0.000000       1.000000       1.000000       1.000000
       0.001333       0.024716       0.024201       0.000000       1.000000       1.000000       1.000000
       0.002000       0.024723       0.024208       0.000000       1.000000       1.000000       1.000000
       0.002667       0.024730       0.024216       0.000000       1.000000       1.000000       1.000000
       0.003333       0.024738       0.024223       0.000000       1.000000       1.000000       1.000000
       0.004000       0.024745       0.024230       0.000000       1.000000       1.000000       1.000000
       0.004667       0.024752       0.024237       0.000000       1.000000       1.000000       1.000000
       0.005333       0.024759       0.024244       0.000000       1.000000       1.000000       1.000000
       0.006000       0.024767       0.024251       0.000000       1.000000       1.000000       1.000000
       0.006667       0.024774       0.024259       0.000000       1.000000       1.000000       1.000000
       0.007333       0.024781       0.024266       0.000000       1.000000       1.000000       1.000000
       0.008000       0.024789       0.024273       0.000000       1.000000       1.000000       1.000000
       0.008667       0.024796       0.024280       0.000000       1.000000       1.000000       1.000000
       0.009333       0.024803       0.024287       0.000000       1.000000       1.000000       1.000000
       0.010000       0.024811       0.024295       0.000000       1.000000       1.000000       1.000000
       0.010667       0.024818       0.024302       0.000000       1.000000       1.000000       1.000000
       0.011333       0.024825       0.024309       0.000000       1.000000       1.000000       1.000000
       0.012000       0.024833       0.024316       0.000000       1.000000       1.000000       1.000000
       0.012667       0.024840       0.024324       0.000000       1.000000       1.000000       1.000000
       0.013333       0.024847       0.024331       0.000000       1.000000       1.000000       1.000000
       0.014000       0.024855       0.024338       0.000000       1.000000       1.000000       1.000000
       0.014667       0.024862       0.024345       0.000000       1.000000       1.000000       1.000000
       0.015333       0.024869       0.024352       0.000000       1.000000       1.000000       1.000000
       0.016000       0.024877       0.024360       0.000000       1.000000       1.000000       1.000000
       0.016667       0.024884       0.024367       0.000000       1.000000       1.000000       1.000000
       0.017333       0.024891       0.024374       0.000000       1.000000       1.000000       1.000000
       0.018000       0.024899       0.024381       0.000000       1.000000       1.000000       1.000000
       0.018667       0.024906       0.024389       0.000000       1.000000       1.000000       1.000000
       0.019333       0.024913       0.024396       0.000000       1.000000       1.000000       1.000000
       0.020000       0.024921       0.024403       0.000000       1.000000       1.000000       1.000000
