 #  energy  x  y  z  sp  sm
       0.000000       1.372946       1.368325       1.000000       1.370638       1.370637
       0.000667       1.373011       1.368390       1.000000       1.370703       1.370702
       0.001333       1.373076       1.368454       1.000000       1.370768       1.370767
       0.002000       1.373142       1.368519       1.000000       1.370833       1.370831
       0.002667       1.373207       1.368584       1.000000       1.370898       1.370897
       0.003333       1.373272       1.368648       1.000000       1.370963       1.370961
       0.004000       1.373338       1.368713       1.000000       1.371028       1.371027
       0.004667       1.373403       1.368778       1.000000       1.371093       1.371091
       0.005333       1.373468       1.368843       1.000000       1.371158       1.371157
       0.006000       1.373533       1.368907       1.000000       1.371223       1.371222
       0.006667       1.373599       1.368972       1.000000       1.371288       1.371287
       0.007333       1.373664       1.369037       1.000000       1.371353       1.371352
       0.008000       1.373730       1.369102       1.000000       1.371418       1.371417
       0.008667       1.373795       1.369166       1.000000       1.371484       1.371482
       0.009333       1.373861       1.369231       1.000000       1.371549       1.371548
       0.010000       1.373927       1.369296       1.000000       1.371614       1.371613
       0.010667       1.373992       1.369361       1.000000       1.371679       1.371678
       0.011333       1.374058       1.369426       1.000000       1.371745       1.371743
       0.012000       1.374123       1.369491       1.000000       1.371810       1.371809
       0.012667       1.374189       1.369556       1.000000       1.371875       1.371874
       0.013333       1.374254       1.369621       1.000000       1.371940       1.371939
       0.014000       1.374320       1.369686       1.000000       1.372005       1.372004
       0.014667       1.374385       1.369751       1.000000       1.372071       1.372070
       0.015333       1.374451       1.369816       1.000000       1.372136       1.372136
       0.016000       1.374517       1.369881       1.000000       1.372202       1.372200
       0.016667       1.374583       1.369947       1.000000       1.372267       1.372266
       0.017333       1.374648       1.370012       1.000000       1.372333       1.372332
       0.018000       1.374714       1.370077       1.000000       1.372398       1.372397
       0.018667       1.374780       1.370142       1.000000       1.372464       1.372463
       0.019333       1.374846       1.370208       1.000000       1.372529       1.372528
       0.020000       1.374912       1.370273       1.000000       1.372595       1.372594
       0.020667       1.374978       1.370338       1.000000       1.372661       1.372659
       0.021333       1.375044       1.370403       1.000000       1.372726       1.372725
       0.022000       1.375110       1.370469       1.000000       1.372792       1.372791
       0.022667       1.375176       1.370534       1.000000       1.372858       1.372856
       0.023333       1.375242       1.370600       1.000000       1.372923       1.372922
       0.024000       1.375308       1.370665       1.000000       1.372989       1.372988
       0.024667       1.375374       1.370730       1.000000       1.373055       1.373054
       0.025333       1.375440       1.370796       1.000000       1.373121       1.373119
       0.026000       1.375506       1.370861       1.000000       1.373186       1.373185
       0.026667       1.375572       1.370927       1.000000       1.373252       1.373251
       0.027333       1.375638       1.370992       1.000000       1.373318       1.373317
       0.028000       1.375705       1.371058       1.000000       1.373384       1.373383
       0.028667       1.375771       1.371124       1.000000       1.373450       1.373449
       0.029333       1.375837       1.371189       1.000000       1.373515       1.373514
       0.030000       1.375903       1.371255       1.000000       1.373581       1.373580
       0.030667       1.375969       1.371320       1.000000       1.373648       1.373646
       0.031333       1.376036       1.371386       1.000000       1.373714       1.373713
       0.032000       1.376102       1.371452       1.000000       1.373779       1.373778
       0.032667       1.376168       1.371517       1.000000       1.373846       1.373845
       0.033333       1.376235       1.371583       1.000000       1.373911       1.373910
       0.034000       1.376301       1.371649       1.000000       1.373978       1.373976
       0.034667       1.376368       1.371715       1.000000       1.374044       1.374043
       0.035333       1.376434       1.371781       1.000000       1.374110       1.374109
       0.036000       1.376500       1.371847       1.000000       1.374176       1.374175
       0.036667       1.376567       1.371912       1.000000       1.374242       1.374241
