 #  energy  xx  yy  zz  xy  xz  yz
       0.000000       1.372946       1.368325       1.000000       0.000000       0.000000       0.000000
       0.000667       1.373011       1.368390       1.000000       0.000000       0.000000       0.000000
       0.001333       1.373076       1.368454       1.000000       0.000000       0.000000       0.000000
       0.002000       1.373142       1.368519       1.000000       0.000000       0.000000       0.000000
       0.002667       1.373207       1.368584       1.000000       0.000000       0.000000       0.000000
       0.003333       1.373272       1.368648       1.000000       0.000000       0.000000       0.000000
       0.004000       1.373338       1.368713       1.000000       0.000000       0.000000       0.000000
       0.004667       1.373403       1.368778       1.000000       0.000000       0.000000       0.000000
       0.005333       1.373468       1.368843       1.000000       0.000000       0.000000       0.000000
       0.006000       1.373533       1.368907       1.000000       0.000000       0.000000       0.000000
       0.006667       1.373599       1.368972       1.000000       0.000000       0.000000       0.000000
       0.007333       1.373664       1.369037       1.000000       0.000000       0.000000       0.000000
       0.008000       1.373730       1.369102       1.000000       0.000000       0.000000       0.000000
       0.008667       1.373795       1.369166       1.000000       0.000000       0.000000       0.000000
       0.009333       1.373861       1.369231       1.000000       0.000000       0.000000       0.000000
       0.010000       1.373927       1.369296       1.000000       0.000000       0.000000       0.000000
       0.010667       1.373992       1.369361       1.000000       0.000000       0.000000       0.000000
       0.011333       1.374058       1.369426       1.000000       0.000000       0.000000       0.000000
       0.012000       1.374123       1.369491       1.000000       0.000000       0.000000       0.000000
       0.012667       1.374189       1.369556       1.000000       0.000000       0.000000       0.000000
       0.013333       1.374254       1.369621       1.000000       0.000000       0.000000       0.000000
       0.014000       1.374320       1.369686       1.000000       0.000000       0.000000       0.000000
       0.014667       1.374385       1.369751       1.000000       0.000000       0.000000       0.000000
       0.015333       1.374451       1.369816       1.000000       0.000000       0.000000       0.000000
       0.016000       1.374517       1.369881       1.000000       0.000000       0.000000       0.000000
       0.016667       1.374583       1.369947       1.000000       0.000000       0.000000       0.000000
       0.017333       1.374648       1.370012       1.000000       0.000000       0.000000       0.000000
       0.018000       1.374714       1.370077       1.000000       0.000000       0.000000       0.000000
       0.018667       1.374780       1.370142       1.000000       0.000000       0.000000       0.000000
       0.019333       1.374846       1.370208       1.000000       0.000000       0.000000       0.000000
       0.020000       1.374912       1.370273       1.000000       0.000000       0.000000       0.000000
       0.020667       1.374978       1.370338       1.000000       0.000000       0.000000       0.000000
       0.021333       1.375044       1.370403       1.000000       0.000000       0.000000       0.000000
       0.022000       1.375110       1.370469       1.000000       0.000000       0.000000       0.000000
       0.022667       1.375176       1.370534       1.000000       0.000000       0.000000       0.000000
       0.023333       1.375242       1.370600       1.000000       0.000000       0.000000       0.000000
       0.024000       1.375308       1.370665       1.000000       0.000000       0.000000       0.000000
       0.024667       1.375374       1.370730       1.000000       0.000000       0.000000       0.000000
       0.025333       1.375440       1.370796       1.000000       0.000000       0.000000       0.000000
       0.026000       1.375506       1.370861       1.000000       0.000000       0.000000       0.000000
       0.026667       1.375572       1.370927       1.000000       0.000000       0.000000       0.000000
       0.027333       1.375638       1.370992       1.000000       0.000000       0.000000       0.000000
       0.028000       1.375705       1.371058       1.000000       0.000000       0.000000       0.000000
       0.028667       1.375771       1.371124       1.000000       0.000000       0.000000       0.000000
       0.029333       1.375837       1.371189       1.000000       0.000000       0.000000       0.000000
       0.030000       1.375903       1.371255       1.000000       0.000000       0.000000       0.000000
       0.030667       1.375969       1.371320       1.000000       0.000000       0.000000       0.000000
       0.031333       1.376036       1.371386       1.000000       0.000000       0.000000       0.000000
       0.032000       1.376102       1.371452       1.000000       0.000000       0.000000       0.000000
       0.032667       1.376168       1.371517       1.000000       0.000000       0.000000       0.000000
       0.033333       1.376235       1.371583       1.000000       0.000000       0.000000       0.000000
       0.034000       1.376301       1.371649       1.000000       0.000000       0.000000       0.000000
       0.034667       1.376368       1.371715       1.000000       0.000000       0.000000       0.000000
       0.035333       1.376434       1.371781       1.000000       0.000000       0.000000       0.000000
       0.036000       1.376500       1.371847       1.000000       0.000000       0.000000       0.000000
       0.036667       1.376567       1.371912       1.000000       0.000000       0.000000       0.000000
       0.037333       1.376634       1.371979       1.000000       0.000000       0.000000       0.000000
       0.038000       1.376700       1.372044       1.000000       0.000000       0.000000       0.000000
       0.038667       1.376766       1.372110       1.000000       0.000000       0.000000       0.000000
       0.039333       1.376833       1.372176       1.000000       0.000000       0.000000       0.000000
       0.040000       1.376900       1.372242       1.000000       0.000000       0.000000       0.000000
       0.040667       1.376967       1.372308       1.000000       0.000000       0.000000       0.000000
       0.041333       1.377033       1.372374       1.000000       0.000000       0.000000       0.000000
       0.042000       1.377100       1.372440       1.000000       0.000000       0.000000       0.000000
       0.042667       1.377166       1.372506       1.000000       0.000000       0.000000       0.000000
       0.043333       1.377233       1.372573       1.000000       0.000000       0.000000       0.000000
       0.044000       1.377300       1.372639       1.000000       0.000000       0.000000       0.000000
       0.044667       1.377367       1.372705       1.000000       0.000000       0.000000       0.000000
       0.045333       1.377434       1.372771       1.000000       0.000000       0.000000       0.000000
       0.046000       1.377501       1.372838       1.000000       0.000000       0.000000       0.000000
       0.046667       1.377567       1.372904       1.000000       0.000000       0.000000       0.000000
       0.047333       1.377635       1.372970       1.000000       0.000000       0.000000       0.000000
       0.048000       1.377701       1.373036       1.000000       0.000000       0.000000       0.000000
       0.048667       1.377768       1.373103       1.000000       0.000000       0.000000       0.000000
       0.049333       1.377835       1.373169       1.000000       0.000000       0.000000       0.000000
       0.050000       1.377902       1.373235       1.000000       0.000000       0.000000       0.000000
       0.050667       1.377969       1.373302       1.000000       0.000000       0.000000       0.000000
       0.051333       1.378036       1.373368       1.000000       0.000000       0.000000       0.000000
       0.052000       1.378103       1.373434       1.000000       0.000000       0.000000       0.000000
       0.052667       1.378170       1.373501       1.000000       0.000000       0.000000       0.000000
       0.053333       1.378238       1.373568       1.000000       0.000000       0.000000       0.000000
       0.054000       1.378304       1.373634       1.000000       0.000000       0.000000       0.000000
       0.054667       1.378372       1.373700       1.000000       0.000000       0.000000       0.000000
       0.055333       1.378439       1.373767       1.000000       0.000000       0.000000       0.000000
       0.056000       1.378506       1.373834       1.000000       0.000000       0.000000       0.000000
       0.056667       1.378574       1.373900       1.000000       0.000000       0.000000       0.000000
       0.057333       1.378641       1.373967       1.000000       0.000000       0.000000       0.000000
       0.058000       1.378708       1.374034       1.000000       0.000000       0.000000       0.000000
       0.058667       1.378775       1.374100       1.000000       0.000000       0.000000       0.000000
       0.059333       1.378843       1.374167       1.000000       0.000000       0.000000       0.000000
       0.060000       1.378910       1.374234       1.000000       0.000000       0.000000       0.000000
       0.060667       1.378978       1.374301       1.000000       0.000000       0.000000       0.000000
       0.061333       1.379045       1.374367       1.000000       0.000000       0.000000       0.000000
       0.062000       1.379112       1.374434       1.000000       0.000000       0.000000       0.000000
       0.062667       1.379180       1.374501       1.000000       0.000000       0.000000       0.000000
       0.063333       1.379247       1.374568       1.000000       0.000000       0.000000       0.000000
       0.064000       1.379315       1.374635       1.000000       0.000000       0.000000       0.000000
       0.064667       1.379383       1.374702       1.000000       0.000000       0.000000       0.000000
       0.065333       1.379450       1.374769       1.000000       0.000000       0.000000       0.000000
       0.066000       1.379518       1.374836       1.000000       0.000000       0.000000       0.000000
       0.066667       1.379585       1.374903       1.000000       0.000000       0.000000       0.000000
       0.067333       1.379653       1.374970       1.000000       0.000000       0.000000       0.000000
       0.068000       1.379721       1.375037       1.000000       0.000000       0.000000       0.000000
       0.068667       1.379788       1.375104       1.000000       0.000000       0.000000       0.000000
       0.069333       1.379856       1.375171       1.000000       0.000000       0.000000       0.000000
       0.070000       1.379924       1.375239       1.000000       0.000000       0.000000       0.000000
       0.070667       1.379992       1.375305       1.000000       0.000000       0.000000       0.000000
       0.071333       1.380059       1.375373       1.000000       0.000000       0.000000       0.000000
       0.072000       1.380127       1.375440       1.000000       0.000000       0.000000       0.000000
       0.072667       1.380195       1.375507       1.000000       0.000000       0.000000       0.000000
       0.073333       1.380263       1.375574       1.000000       0.000000       0.000000       0.000000
       0.074000       1.380331       1.375642       1.000000       0.000000       0.000000       0.000000
       0.074667       1.380399       1.375709       1.000000       0.000000       0.000000       0.000000
       0.075333       1.380467       1.375776       1.000000       0.000000       0.000000       0.000000
       0.076000       1.380535       1.375843       1.000000       0.000000       0.000000       0.000000
       0.076667       1.380603       1.375911       1.000000       0.000000       0.000000       0.000000
