 number of kpoints:        1936
 number of conduction states           2
 number of valence states           2
 # kx ky kz nocp nc nv  energy  xx  yy  zz  xy  xz  yz
  1.322142  2.290016  0.000000        14        15        14  2.210793  4.763911  4.618348  0.000000 -0.127701  0.000000  0.000000
  1.322142  2.342660  0.000000        14        15        14  2.210806  4.749420  4.617040  0.000000  0.122221  0.000000  0.000000
  1.367733  2.316338  0.000000        14        15        14  2.210837  4.542387  4.823203  0.000000  0.003433  0.000000  0.000000
  0.683866  1.184491  0.000000        14        15        14  2.210842  4.763689  4.618326  0.000000 -0.127730  0.000000  0.000000
  0.683866  1.131847  0.000000        14        15        14  2.210855  4.749201  4.617062  0.000000  0.122194  0.000000  0.000000
  0.638275  1.158169  0.000000        14        15        14  2.210879  4.542371  4.823229  0.000000  0.003397  0.000000  0.000000
  1.322142  2.290016  0.000000        14        16        14  2.227659  0.000210  0.000203  0.000000 -0.000006  0.000000  0.000000
  1.322142  2.342660  0.000000        14        16        14  2.227679  0.000206  0.000200  0.000000  0.000006  0.000000  0.000000
  0.683866  1.184491  0.000000        14        16        14  2.227695  0.000224  0.000217  0.000000 -0.000006  0.000000  0.000000
  1.367733  2.316338  0.000000        14        16        14  2.227710  0.000211  0.000225  0.000000  0.000001  0.000000  0.000000
  0.683866  1.131847  0.000000        14        16        14  2.227719  0.000218  0.000212  0.000000  0.000006  0.000000  0.000000
  0.638275  1.158169  0.000000        14        16        14  2.227744  0.000211  0.000225  0.000000  0.000000  0.000000  0.000000
  1.367733  2.263694  0.000000        14        15        14  2.264521  4.308063  4.302954  0.000000  0.007578  0.000000  0.000000
  0.638275  1.210813  0.000000        14        15        14  2.264560  4.308008  4.302925  0.000000  0.007549  0.000000  0.000000
  1.276551  2.316338  0.000000        14        15        14  2.264586  4.295923  4.314513  0.000000  0.000401  0.000000  0.000000
  0.729457  1.158169  0.000000        14        15        14  2.264638  4.295634  4.314488  0.000000  0.000368  0.000000  0.000000
  1.367733  2.368982  0.000000        14        15        14  2.264729  4.310911  4.301121  0.000000 -0.010992  0.000000  0.000000
  0.638275  1.105525  0.000000        14        15        14  2.264763  4.310929  4.301187  0.000000 -0.011021  0.000000  0.000000
  1.367733  2.263694  0.000000        14        16        14  2.278033  0.000315  0.000315  0.000000  0.000001  0.000000  0.000000
  0.638275  1.210813  0.000000        14        16        14  2.278064  0.000323  0.000324  0.000000  0.000001  0.000000  0.000000
  1.276551  2.316338  0.000000        14        16        14  2.278096  0.000300  0.000300  0.000000 -0.000000  0.000000  0.000000
  0.729457  1.158169  0.000000        14        16        14  2.278129  0.000336  0.000338  0.000000  0.000000  0.000000  0.000000
  1.367733  2.368982  0.000000        14        16        14  2.278244  0.000335  0.000335  0.000000 -0.000001  0.000000  0.000000
  0.638275  1.105525  0.000000        14        16        14  2.278275  0.000337  0.000338  0.000000 -0.000001  0.000000  0.000000
  1.276551  2.368982  0.000000        14        15        14  2.308027  4.142470  3.967532  0.000000  0.402914  0.000000  0.000000
  0.729457  1.105525  0.000000        14        15        14  2.308075  4.142158  3.967517  0.000000  0.402883  0.000000  0.000000
  1.322142  2.395304  0.000000        14        15        14  2.308095  4.337371  3.790635  0.000000  0.284735  0.000000  0.000000
  1.413324  2.290016  0.000000        14        15        14  2.308103  3.659301  4.448760  0.000000  0.125695  0.000000  0.000000
  1.322142  2.237372  0.000000        14        15        14  2.308105  4.385490  3.792134  0.000000 -0.311121  0.000000  0.000000
  0.592684  1.184491  0.000000        14        15        14  2.308133  3.659422  4.448753  0.000000  0.125669  0.000000  0.000000
  0.683866  1.079203  0.000000        14        15        14  2.308135  4.337165  3.790631  0.000000  0.284723  0.000000  0.000000
  0.683866  1.237135  0.000000        14        15        14  2.308146  4.385276  3.792082  0.000000 -0.311127  0.000000  0.000000
  1.276551  2.263694  0.000000        14        15        14  2.308173  4.207190  3.970054  0.000000 -0.413569  0.000000  0.000000
  0.729457  1.210813  0.000000        14        15        14  2.308222  4.206903  3.969982  0.000000 -0.413576  0.000000  0.000000
  1.413324  2.342660  0.000000        14        15        14  2.308250  3.676541  4.447690  0.000000 -0.094914  0.000000  0.000000
  0.592684  1.131847  0.000000        14        15        14  2.308278  3.676711  4.447762  0.000000 -0.094966  0.000000  0.000000
  1.276551  2.368982  0.000000        14        16        14  2.318431  0.000461  0.000439  0.000000  0.000045  0.000000  0.000000
  0.729457  1.105525  0.000000        14        16        14  2.318467  0.000510  0.000489  0.000000  0.000050  0.000000  0.000000
  1.322142  2.237372  0.000000        14        16        14  2.318500  0.000539  0.000464  0.000000 -0.000039  0.000000  0.000000
